"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","HTTP","",""
"pre_128cipher","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","No 128 cipher limit bug","",""
"SSLv2","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","not offered","",""
"SSLv3","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","not offered","",""
"TLS1","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","not offered","",""
"TLS1_1","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","not offered","",""
"TLS1_2","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","offered","",""
"TLS1_3","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","offered with final","",""
"ALPN","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","not offered","",""
"cipherlist_NULL","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_LOW","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","offered","",""
"cipherlist_STRONG_FS","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","offered","",""
"cipher_order-tls1_2","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","server","",""
"cipherorder_TLSv1_2","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","server","",""
"FS","maison-des-blesses.defense.gouv.fr/45.60.12.211","443","OK","offered","",""
