"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","HTTP","",""
"pre_128cipher","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","",""
"SSLv3","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","",""
"TLS1","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"TLS1_1","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"TLS1_2","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","offered","",""
"TLS1_3","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"cipherlist_NULL","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","offered","",""
"cipher_order-tls1_2","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","NOT a cipher order configured","",""
"FS","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","offered","",""
"FS_ciphers","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","yes","",""
"sessionresumption_ticket","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","supported","",""
"sessionresumption_ID","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","supported","",""
"TLS_timestamp","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","random","",""
"cert_compression","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","N/A","",""
"clientAuth","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","none","",""
"cert_numbers","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","1","",""
"cert_signatureAlgorithm","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","SHA256 with RSA","",""
"cert_keySize","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","CD5AD2FF9DE628ABAD2120A80B3A7A47","",""
"cert_serialNumberLen","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","16","",""
"cert_fingerprintSHA1","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","94C00FF57A2E64930A36FA04E54D35763AF580EA","",""
"cert_fingerprintSHA256","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","19EDF131A5502A9A103BB9CCE573CAD1E338449D1BA86E9A7B4A19B470AF526B","",""
"cert","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIvjCCBqagAwIBAgIRAM1a0v+d5iirrSEgqAs6ekcwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIzMDIyMzIzMDAwMFoXDTI0MDMwNDIyNTk1OVowgakxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzFBMD8GA1UECgw4U0VDUkVUQVJJQVQgR0VORVJBTCBNSU5JU1RFUkVTIENIQVJHRVMgQUZGQUlSRVMgU09DSUFMRVMxMjAwBgNVBAMMKWJhc2UtZG9ubmVlcy1wdWJsaXF1ZS5tZWRpY2FtZW50cy5nb3V2LmZyMRMwEQYDVQQFEwpTMjY0ODkyNzQzMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApHGGAx8Scw61a+4i5Bmyi+otVf034kcJl5BSYJ58PjYPUVA54M53GyCt94p72JgGXqpmYehl3xDJF9VSoJ31ktdfYTWWMlzSWfFT4uykJaRcg0cxys308dQQUPnl1LAroJE7UuoZ+VwxPeIrIO1YAqnOMEAGZd/wkpgbJKHDFH12/NrOF7yOyIhqGYxUhrIO+wvXA/fEmFC3RNCdxivDiwmdvQz4cCsbIqpVfn+EtRmID7rC/a1LptS+eRV9b8PHMaYxs0yvtzbzr8RRQ6jdciSqxnkg+UQcs5ADVGhSKenkJUthfal+71wD2jDkDJHmJS6fPaThQC9gRBKbvK4dgwIDAQABo4IECjCCBAYwgeQGCCsGAQUFBwEBBIHXMIHUMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMGEGA1UdEQRaMFiCK20uYmFzZS1kb25uZWVzLXB1YmxpcXVlLm1lZGljYW1lbnRzLmdvdXYuZnKCKWJhc2UtZG9ubmVlcy1wdWJsaXF1ZS5tZWRpY2FtZW50cy5nb3V2LmZyMB0GA1UdDgQWBBR9PbM0Wv98Xje8DxDlrZOUjZMyxDCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGGg7iwAwAABAMARzBFAiEAmrInIkHQoMHgDG/etTxOvPKuhePlWpnLJrGJZiFVGKwCIDbVM9ozqFX9esWxlfoUGlUStEdz+RZZKnlvVZKli4f0AHYAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGGg7iwYwAABAMARzBFAiEAlQ2hXp8dM/yBLruJCKa3y4Aug4sMKv/9L1olenBb0LACIGOaPh2IydJcXpiqc5ndIkxR5KEOZpOWNlsG4JgYpVd4AHYAVYHUwhaQNgFK6gubVzxT8MDkOHhwJQgXL6OqHQcT0wwAAAGGg7ixsQAABAMARzBFAiBhjebIyk8G6MrsycSqc+XXdJRR7zuduyfY0QuZJKGT5gIhAMMtrnqnvun+plByW9lez0ou5WqIhfCzM3KqSqQ6815sMA0GCSqGSIb3DQEBCwUAA4ICAQBLfgtaIFXOU79JC8ieJ99UtQgbi8C9ADHVVtjZh0DITvDfnuNEfbWgkthZ/1MtJPMFIzrl9f9bkZUty5tEsEmbUljxVr/7zNSqk+C4FZqocj6TfIjWQK+dDkjXu/feEudH+Gly1WJdI2ljBFRFBfWb4n59iktdLbDxF9OxtiOXCtntYgXBe0qhgLnzoeJL2MGB6ipkiJxJRFdYs8xnVJd/PGcJcac3B5HbzFYHJoaLCxU1Khke04ylpUQXeQy3EINq3VvAax7q9wRleBNst/wYP2NUh6YYkU1ZF5mPSVq4ijYVhWG/mNnaZ9Ifo8Jca2GGsRpg14FZ7hT3tO93YNJoNHnlqG01weym4j7hmGyaLDIsE4+OrqvAMjLKE5Iv9Bpw83dADPcWPJXlkjkzb70Uup0rtXlyt0DTRjQhrpoNuQadcuJrHAfay5MjN4ARJ7eHSL3YBGctmm6SJc2sGodoP4OQOHkqcFeCEcB0g2MwLbN7inilF3ZKBHNcisIwDxlKTUGgfgOUUYFSg6Emp4Bx8cc0VTPSndNzxtTtHtctEgHzX4SNun/Fk5VVlx3fbaoxYjJW5vEM1RGjlxZvMnS0gYqsiNTETdaldmppk7Gsw3ii6slIt0d4Mzol2AYQ6KMpLDsrVSDDx+TmtF58WL+0bbU6+qMhh2ocIlibHAlO+w==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","base-donnees-publique.medicaments.gouv.fr","",""
"cert_commonName_wo_SNI","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","cnit.ansm.sante.fr","",""
"cert_subjectAltName","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","m.base-donnees-publique.medicaments.gouv.fr base-donnees-publique.medicaments.gouv.fr","",""
"cert_trust","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","no","",""
"cert_expirationStatus","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","60 >= 60 days","",""
"cert_notBefore","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","2023-02-23 23:00","",""
"cert_notAfter","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","2024-03-04 22:59","",""
"cert_extlifeSpan","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not present","",""
"cert_crlDistributionPoints","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","LOW","not offered","",""
"cert_mustStapleExtension","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","--","",""
"DNS_CAArecord","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","LOW","--","",""
"certificate_transparency","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","yes (certificate extension)","",""
"certs_countServer","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","2","",""
"certs_list_ordering_problem","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","no","",""
"cert_caIssuers","www.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
