"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cnig.gouv.fr/194.5.170.186","443","INFO","HTTP","",""
"pre_128cipher","www.cnig.gouv.fr/194.5.170.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cnig.gouv.fr/194.5.170.186","443","OK","not offered","",""
"SSLv3","www.cnig.gouv.fr/194.5.170.186","443","OK","not offered","",""
"TLS1","www.cnig.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_1","www.cnig.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_2","www.cnig.gouv.fr/194.5.170.186","443","OK","offered","",""
"TLS1_3","www.cnig.gouv.fr/194.5.170.186","443","OK","offered with final","",""
"ALPN_HTTP2","www.cnig.gouv.fr/194.5.170.186","443","OK","h2","",""
"ALPN","www.cnig.gouv.fr/194.5.170.186","443","INFO","http/1.1","",""
"cipherlist_NULL","www.cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cnig.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cnig.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cnig.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.cnig.gouv.fr/194.5.170.186","443","OK","offered","",""
"cipher_order-tls1_2","www.cnig.gouv.fr/194.5.170.186","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.cnig.gouv.fr/194.5.170.186","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.cnig.gouv.fr/194.5.170.186","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 3072    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.cnig.gouv.fr/194.5.170.186","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.cnig.gouv.fr/194.5.170.186","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 3072    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.cnig.gouv.fr/194.5.170.186","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cnig.gouv.fr/194.5.170.186","443","INFO","NOT a cipher order configured","",""
"FS","www.cnig.gouv.fr/194.5.170.186","443","OK","offered","",""
"FS_ciphers","www.cnig.gouv.fr/194.5.170.186","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.cnig.gouv.fr/194.5.170.186","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.cnig.gouv.fr/194.5.170.186","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.cnig.gouv.fr/194.5.170.186","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.cnig.gouv.fr/194.5.170.186","443","INFO","yes","",""
"sessionresumption_ticket","www.cnig.gouv.fr/194.5.170.186","443","INFO","not supported","",""
"sessionresumption_ID","www.cnig.gouv.fr/194.5.170.186","443","INFO","not supported","",""
