"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","HTTP","",""
"pre_128cipher","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","",""
"SSLv3","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","",""
"TLS1","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_1","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_2","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered","",""
"TLS1_3","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered with final","",""
"ALPN_HTTP2","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","h2","",""
"ALPN","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","http/1.1","",""
"cipherlist_NULL","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered","",""
"cipher_order-tls1_2","www.programme-nitrate.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.programme-nitrate.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
