"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cours-appel.justice.fr/185.24.184.176","443","INFO","HTTP","",""
"pre_128cipher","www.cours-appel.justice.fr/185.24.184.176","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cours-appel.justice.fr/185.24.184.176","443","OK","not offered","",""
"SSLv3","www.cours-appel.justice.fr/185.24.184.176","443","OK","not offered","",""
"TLS1","www.cours-appel.justice.fr/185.24.184.176","443","LOW","offered (deprecated)","",""
"TLS1_1","www.cours-appel.justice.fr/185.24.184.176","443","LOW","offered (deprecated)","",""
"TLS1_2","www.cours-appel.justice.fr/185.24.184.176","443","OK","offered","",""
"TLS1_3","www.cours-appel.justice.fr/185.24.184.176","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.cours-appel.justice.fr/185.24.184.176","443","INFO","not offered","",""
"cipherlist_NULL","www.cours-appel.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cours-appel.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cours-appel.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cours-appel.justice.fr/185.24.184.176","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cours-appel.justice.fr/185.24.184.176","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cours-appel.justice.fr/185.24.184.176","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cours-appel.justice.fr/185.24.184.176","443","OK","offered","",""
"cipherlist_STRONG_FS","www.cours-appel.justice.fr/185.24.184.176","443","OK","offered","",""
"cipher_order-tls1","www.cours-appel.justice.fr/185.24.184.176","443","OK","server","",""
"cipherorder_TLSv1","www.cours-appel.justice.fr/185.24.184.176","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.cours-appel.justice.fr/185.24.184.176","443","OK","server","",""
"cipherorder_TLSv1_1","www.cours-appel.justice.fr/185.24.184.176","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.cours-appel.justice.fr/185.24.184.176","443","OK","server","",""
"cipherorder_TLSv1_2","www.cours-appel.justice.fr/185.24.184.176","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cours-appel.justice.fr/185.24.184.176","443","OK","server","",""
"FS","www.cours-appel.justice.fr/185.24.184.176","443","OK","offered","",""
