"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","HTTP","",""
"pre_128cipher","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.communication-responsable.ademe.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","www.communication-responsable.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","www.communication-responsable.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"FS","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"FS_ciphers","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","prime256v1","",""
"TLS_extensions","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","yes","",""
"sessionresumption_ticket","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","supported","",""
"sessionresumption_ID","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not supported","",""
"TLS_timestamp","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","random","",""
"certificate_compression","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","none","",""
"clientAuth","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","none","",""
"cert_numbers","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","1","",""
"cert_signatureAlgorithm","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","SHA384 with RSA","",""
"cert_keySize","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","0770269A70690C93CF9F84980ED012AC","",""
"cert_serialNumberLen","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","16","",""
"cert_fingerprintSHA1","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","A4A2EFC8664082257621D2FD764D37EB45CD341C","",""
"cert_fingerprintSHA256","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","EBFC61A7CA91A66E4E32A5454BDDFA4C4F46FCFA65F3E8DE3F79364A22747615","",""
"cert","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF0TCCBDmgAwIBAgIQB3AmmnBpDJPPn4SYDtASrDANBgkqhkiG9w0BAQwFADBWMQswCQYDVQQGEwJGUjEOMAwGA1UEChMFR2FuZGkxNzA1BgNVBAMTLkdhbmRpIFJTQSBEb21haW4gVmFsaWRhdGlvbiBTZWN1cmUgU2VydmVyIENBIDMwHhcNMjMwOTE1MDAwMDAwWhcNMjQxMDE0MjM1OTU5WjAxMS8wLQYDVQQDEyZ3d3cuY29tbXVuaWNhdGlvbi1yZXNwb25zYWJsZS5hZGVtZS5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABAmsssikyahSOmQSHryZMj3NJ/j7GHXmWdF4N+skyp50RgZxprPittMQZRFMMwuqMRedaRiROxpuTARf6LJx5sKjggMJMIIDBTAfBgNVHSMEGDAWgBSBEZLeZjKlsFszPWVDhfzUBC3xrjAdBgNVHQ4EFgQUwonIXtGQQBVdt852aLc+13BkaVQwDgYDVR0PAQH/BAQDAgeAMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMEkGA1UdIARCMEAwNAYLKwYBBAGyMQECAhowJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQIBMIGDBggrBgEFBQcBAQR3MHUwTgYIKwYBBQUHMAKGQmh0dHA6Ly9jcnQuc2VjdGlnby5jb20vR2FuZGlSU0FEb21haW5WYWxpZGF0aW9uU2VjdXJlU2VydmVyQ0EzLmNydDAjBggrBgEFBQcwAYYXaHR0cDovL29jc3Auc2VjdGlnby5jb20wMQYDVR0RBCowKIImd3d3LmNvbW11bmljYXRpb24tcmVzcG9uc2FibGUuYWRlbWUuZnIwggGABgorBgEEAdZ5AgQCBIIBcASCAWwBagB3AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABipY9ajIAAAQDAEgwRgIhANAhV5HxAjtzIsaXbxI+yN+bMFOhsCsBEjqh566x/4+kAiEAi212P904UPja5gLvs3iQGapw0ATuAHyUdJXzTCTOPIIAdwDatr9rP7W2Ip+bwrtca+hwkXFsu1GEhTS9pD0wSNf7qwAAAYqWPWqIAAAEAwBIMEYCIQCu3XLgh0c93FSDJQ+pa6K1E6JuuPDEcHz/9fBaolAYPwIhAKY5AByTnT1Iac+esIHv1iJ6iI4D4hCCFVaZ00YzOkn0AHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGKlj1qYgAABAMARzBFAiEA0BDtKuEQ638EyTgwpVoZsuITtK4ys93c1LQ3ZXHShV0CIEbyKRLQkBtIwpNN6e5VYXECb6dpYYuN7BGdgbuouGNwMA0GCSqGSIb3DQEBDAUAA4IBgQBiR8Oc9w7L4CzZe26OjK8FZa3TQeiCEeHseoBKEBHBPkFf/bkww1jQwVVcp7nG68UMrfzrfWTo+zp9PKdZVeujMtdi8ZMsqxds5epEQYaZe4uuRP9lKVd+4bjrdg1x9YsmX+0aAC6V8YzCk4v7nEiDzgk8zyM44zuwz38iWmGP7CcFMkZK9POVnE4sOkKAY5wiHVCHdDgfvYUcVcMFgzfHBJ0eOkXpRNN9J88iPv/ohbo88yJQUcqaUILdLlqwd6s+vwvypY8jMgzDWeoNfh9/yeCTEBtLITKC5N1j+7eKqB1zV/0fVFtKQeJ/awhwVyU54BeHFJS/od8qsGXR0YAOexfK57Ky+dMpIZ8OM/iifoklSsApFtqB3MEpa1FaZfENDIdzKeOIdgEHySQXIINPFxaTjAm5OmF7TKrDrFol5rz1taPCjXm3bKgZRZB3r8P+4EKiTZlsn3iDVJ/Ato3f5AePRRYE3HLZeSw2qKGCDWKpqKazH+IEMFqnLLZFNI0=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","www.communication-responsable.ademe.fr","",""
"cert_commonName_wo_SNI","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","www.communication-responsable.ademe.fr","",""
"cert_trust","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","no","",""
"cert_expirationStatus","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","284 >= 60 days","",""
"cert_notBefore","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","2023-09-15 00:00","",""
"cert_notAfter","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","2024-10-14 23:59","",""
"cert_extlifeSpan","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","not present","",""
"cert_crlDistributionPoints","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","--","",""
"cert_ocspURL","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"cert_ocspRevoked","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","not revoked","",""
"cert_mustStapleExtension","www.communication-responsable.ademe.fr/217.70.184.56","443","INFO","--","",""
"DNS_CAArecord","www.communication-responsable.ademe.fr/217.70.184.56","443","LOW","--","",""
"certificate_transparency","www.communication-responsable.ademe.fr/217.70.184.56","443","OK","yes (certificate extension)","",""
