"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.culture.gouv.fr/143.126.211.160","443","INFO","HTTP","",""
"pre_128cipher","www.culture.gouv.fr/143.126.211.160","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.culture.gouv.fr/143.126.211.160","443","OK","not offered","",""
"SSLv3","www.culture.gouv.fr/143.126.211.160","443","OK","not offered","",""
"TLS1","www.culture.gouv.fr/143.126.211.160","443","INFO","not offered","",""
"TLS1_1","www.culture.gouv.fr/143.126.211.160","443","INFO","not offered","",""
"TLS1_2","www.culture.gouv.fr/143.126.211.160","443","OK","offered","",""
"TLS1_3","www.culture.gouv.fr/143.126.211.160","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.culture.gouv.fr/143.126.211.160","443","INFO","http/1.1","",""
"cipherlist_NULL","www.culture.gouv.fr/143.126.211.160","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.culture.gouv.fr/143.126.211.160","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.culture.gouv.fr/143.126.211.160","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.culture.gouv.fr/143.126.211.160","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.culture.gouv.fr/143.126.211.160","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.culture.gouv.fr/143.126.211.160","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.culture.gouv.fr/143.126.211.160","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.culture.gouv.fr/143.126.211.160","443","OK","offered","",""
"cipher_order-tls1_2","www.culture.gouv.fr/143.126.211.160","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.culture.gouv.fr/143.126.211.160","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.culture.gouv.fr/143.126.211.160","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.culture.gouv.fr/143.126.211.160","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.culture.gouv.fr/143.126.211.160","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.culture.gouv.fr/143.126.211.160","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.culture.gouv.fr/143.126.211.160","443","INFO","NOT a cipher order configured","",""
"FS","www.culture.gouv.fr/143.126.211.160","443","OK","offered","",""
"FS_ciphers","www.culture.gouv.fr/143.126.211.160","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.culture.gouv.fr/143.126.211.160","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.culture.gouv.fr/143.126.211.160","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'next protocol/#13172' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.culture.gouv.fr/143.126.211.160","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","www.culture.gouv.fr/143.126.211.160","443","INFO","yes","",""
"sessionresumption_ticket","www.culture.gouv.fr/143.126.211.160","443","INFO","supported","",""
"sessionresumption_ID","www.culture.gouv.fr/143.126.211.160","443","INFO","supported","",""
"TLS_timestamp","www.culture.gouv.fr/143.126.211.160","443","INFO","random","",""
"cert_compression","www.culture.gouv.fr/143.126.211.160","443","INFO","N/A","",""
"clientAuth","www.culture.gouv.fr/143.126.211.160","443","INFO","none","",""
"cert_numbers","www.culture.gouv.fr/143.126.211.160","443","INFO","1","",""
"cert_signatureAlgorithm","www.culture.gouv.fr/143.126.211.160","443","OK","SHA256 with RSA","",""
"cert_keySize","www.culture.gouv.fr/143.126.211.160","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.culture.gouv.fr/143.126.211.160","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.culture.gouv.fr/143.126.211.160","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.culture.gouv.fr/143.126.211.160","443","INFO","0415AC162B904C2F6DB714B50D7F989B588F","",""
"cert_serialNumberLen","www.culture.gouv.fr/143.126.211.160","443","INFO","18","",""
"cert_fingerprintSHA1","www.culture.gouv.fr/143.126.211.160","443","INFO","42CB9F685FBF638D2F1393EB4E2987483485ACB3","",""
"cert_fingerprintSHA256","www.culture.gouv.fr/143.126.211.160","443","INFO","37D2B6C61E190AEA3CAEE954CA61C72DD707F94ECB6EA3B6D2B555DF00B67D71","",""
