"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","HTTP","",""
"pre_128cipher","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","not offered","",""
"SSLv3","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","not offered","",""
"TLS1","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not offered","",""
"TLS1_1","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not offered","",""
"TLS1_2","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","offered","",""
"TLS1_3","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","offered with final","",""
"ALPN","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not offered","",""
"cipherlist_NULL","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","offered","",""
"cipher_order-tls1_2","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","server","",""
"cipherorder_TLSv1_2","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","server","",""
"FS","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","offered","",""
"FS_ciphers","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","yes","",""
"sessionresumption_ticket","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","not supported","",""
"sessionresumption_ID","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","supported","",""
"TLS_timestamp","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","random","",""
"certificate_compression","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","none","",""
"clientAuth","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","none","",""
"cert_numbers","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","1","",""
"cert_signatureAlgorithm","www.cyberveille-sante.gouv.fr/37.59.27.107","443","OK","SHA256 with RSA","",""
"cert_keySize","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","751FF3355FA0AE4ECC82F5D6B8F1CFB0","",""
"cert_serialNumberLen","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","16","",""
"cert_fingerprintSHA1","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","9E571423CD203755EB9F275915FE6B81CFE440FF","",""
"cert_fingerprintSHA256","www.cyberveille-sante.gouv.fr/37.59.27.107","443","INFO","20FA660EFF3D8101C33BD807DDC17252E6B9656B0FD429B4F99C04F10D2035AB","",""
