"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.anah.fr/178.237.108.157","443","INFO","HTTP","",""
"pre_128cipher","www.anah.fr/178.237.108.157","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.anah.fr/178.237.108.157","443","OK","not offered","",""
"SSLv3","www.anah.fr/178.237.108.157","443","OK","not offered","",""
"TLS1","www.anah.fr/178.237.108.157","443","INFO","not offered","",""
"TLS1_1","www.anah.fr/178.237.108.157","443","INFO","not offered","",""
"TLS1_2","www.anah.fr/178.237.108.157","443","OK","offered","",""
"TLS1_3","www.anah.fr/178.237.108.157","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.anah.fr/178.237.108.157","443","INFO","http/1.1","",""
"cipherlist_NULL","www.anah.fr/178.237.108.157","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.anah.fr/178.237.108.157","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.anah.fr/178.237.108.157","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.anah.fr/178.237.108.157","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.anah.fr/178.237.108.157","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.anah.fr/178.237.108.157","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.anah.fr/178.237.108.157","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.anah.fr/178.237.108.157","443","OK","offered","",""
"cipher_order-tls1_2","www.anah.fr/178.237.108.157","443","OK","server","",""
"cipherorder_TLSv1_2","www.anah.fr/178.237.108.157","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.anah.fr/178.237.108.157","443","OK","server","",""
"FS","www.anah.fr/178.237.108.157","443","OK","offered","",""
"FS_ciphers","www.anah.fr/178.237.108.157","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.anah.fr/178.237.108.157","443","OK","sect283k1 sect283r1 sect409k1 sect409r1 sect571k1 sect571r1 secp256k1 prime256v1 secp384r1 secp521r1 brainpoolP256r1 brainpoolP384r1 brainpoolP512r1","",""
"TLS_extensions","www.anah.fr/178.237.108.157","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'status request/#5' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.anah.fr/178.237.108.157","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.anah.fr/178.237.108.157","443","INFO","yes","",""
"sessionresumption_ticket","www.anah.fr/178.237.108.157","443","INFO","not supported","",""
"sessionresumption_ID","www.anah.fr/178.237.108.157","443","INFO","supported","",""
"TLS_timestamp","www.anah.fr/178.237.108.157","443","INFO","random","",""
"cert_compression","www.anah.fr/178.237.108.157","443","INFO","N/A","",""
"clientAuth","www.anah.fr/178.237.108.157","443","INFO","none","",""
"cert_numbers","www.anah.fr/178.237.108.157","443","INFO","1","",""
"cert_signatureAlgorithm","www.anah.fr/178.237.108.157","443","OK","SHA256 with RSA","",""
"cert_keySize","www.anah.fr/178.237.108.157","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.anah.fr/178.237.108.157","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.anah.fr/178.237.108.157","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.anah.fr/178.237.108.157","443","INFO","0CAECCB2E8592D66D314603C663B3CEE","",""
"cert_serialNumberLen","www.anah.fr/178.237.108.157","443","INFO","16","",""
"cert_fingerprintSHA1","www.anah.fr/178.237.108.157","443","INFO","91BC810D49E87069AC8A4A0ECBC5A955A897639E","",""
"cert_fingerprintSHA256","www.anah.fr/178.237.108.157","443","INFO","DB7454512B338C010308015139674311278833696E57B0890A736CCF2DB7F59F","",""
