"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","HTTP","",""
"pre_128cipher","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","not offered","",""
"SSLv3","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","not offered","",""
"TLS1","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_1","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_2","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","offered","",""
"TLS1_3","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","http/1.1","",""
"cipherlist_NULL","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","offered","",""
"cipher_order-tls1_2","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","NOT a cipher order configured","",""
"FS","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","offered","",""
"FS_ciphers","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","yes","",""
"sessionresumption_ticket","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","supported","",""
"sessionresumption_ID","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","not supported","",""
"TLS_timestamp","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","random","",""
"cert_compression","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","N/A","",""
"clientAuth","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","none","",""
"cert_numbers","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","1","",""
"cert_signatureAlgorithm","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","OK","SHA384 with RSA","",""
"cert_keySize","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","CFA825C6BBB9F60BD33B898C13B1FC09","",""
"cert_serialNumberLen","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","16","",""
"cert_fingerprintSHA1","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","DD462723203287B8380CD658C9FA01D8FC2B595B","",""
"cert_fingerprintSHA256","www.agence-francaise-anticorruption.gouv.fr/80.87.236.14","443","INFO","BEFFCDDEA8DA005800AEC3A09991A58450263D276A9629A688BEE83AC56EB57C","",""
