"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","HTTP","",""
"pre_128cipher","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not offered","",""
"SSLv3","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not offered","",""
"TLS1","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not offered","",""
"TLS1_1","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not offered","",""
"TLS1_2","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","offered","",""
"TLS1_3","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","http/1.1","",""
"cipherlist_NULL","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","offered","",""
"cipher_order-tls1_2","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","NOT a cipher order configured","",""
"FS","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","offered","",""
"FS_ciphers","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","yes","",""
"sessionresumption_ticket","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","supported","",""
"sessionresumption_ID","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","supported","",""
"TLS_timestamp","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","random","",""
"cert_compression","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","N/A","",""
"clientAuth","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","none","",""
"cert_numbers","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","1","",""
"cert_signatureAlgorithm","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","SHA384 with RSA","",""
"cert_keySize","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","91C93B13BC088F83941B4F328424C9E3","",""
"cert_serialNumberLen","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","16","",""
"cert_fingerprintSHA1","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","1DA968E2262A808A9D6591ED98EC52A87421892F","",""
"cert_fingerprintSHA256","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","4FD3CBA32C9D548B4B52EEF310B55F4365A8CD012293A3C7D6D917385165B871","",""
"cert","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHgzCCBeugAwIBAgIRAJHJOxO8CI+DlBtPMoQkyeMwDQYJKoZIhvcNAQEMBQAwVjELMAkGA1UEBhMCRlIxDjAMBgNVBAoTBUdhbmRpMTcwNQYDVQQDEy5HYW5kaSBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQSAzMB4XDTIzMTAxMDAwMDAwMFoXDTI0MTAyMjIzNTk1OVowIDEeMBwGA1UEAxMVcHJvZC1wbnMuYWRlbWUtZHJpLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApux4DYfsmNEh7qZvR8pfOglUBx5Z7XLKdoQYvu0lb4rw+KGeQfwjhmcTdwTDEIJb0J2eP6Vf0hBemfANxUhyeo/idRoWLSuef2LQbE2Ctl7DSX0L+7VcFERpMfHr1kp7oJ9PsqDkgYUpuGC5LL7UtG9RpooAX9uvp1sTipB+1Y5LhmG1Fxzt37HWeTphDmHbWe8V4P+pYFvA1EKEExkfT5UaDDJJ5nh+nI1+PF9YXMyre8/wyOCZQCj837DQucncPkFWBkM4VpKcbvGNoQIfUp/06nRxC41f2vs5KtAmXyf9xO2LXqP/b/O6w8omCeqTsgprDrr6IMz2uA+6fCkH9QIDAQABo4IEADCCA/wwHwYDVR0jBBgwFoAUgRGS3mYypbBbMz1lQ4X81AQt8a4wHQYDVR0OBBYEFM/FU4PtTxilU9fblhWSqA8V6BDJMA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBJBgNVHSAEQjBAMDQGCysGAQQBsjEBAgIaMCUwIwYIKwYBBQUHAgEWF2h0dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECATCBgwYIKwYBBQUHAQEEdzB1ME4GCCsGAQUFBzAChkJodHRwOi8vY3J0LnNlY3RpZ28uY29tL0dhbmRpUlNBRG9tYWluVmFsaWRhdGlvblNlY3VyZVNlcnZlckNBMy5jcnQwIwYIKwYBBQUHMAGGF2h0dHA6Ly9vY3NwLnNlY3RpZ28uY29tMIIBgAYKKwYBBAHWeQIEAgSCAXAEggFsAWoAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYsZzi49AAAEAwBIMEYCIQDIysWIhFSN3+Be6lhvOy66sWz/ZxL+7eKO3m2sATe7UQIhAJZKuto4zAsq2Ut4nMkk7RbDAbZN2q++NruhNNAugHQFAHYA2ra/az+1tiKfm8K7XGvocJFxbLtRhIU0vaQ9MEjX+6sAAAGLGc4ujQAABAMARzBFAiBXHm9ey3iFchId1svpKt/xl90AzasqRtYesLN+p9wTYgIhALE9vPxfpXhdScs1U3uh2A2X8LAD9icODNpZG+W8vbqyAHcA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGLGc4ubAAABAMASDBGAiEApLwO2La7t29RK5GbzoqsiUaPXwQh7oTLKIZf0VIr3MECIQD5tfpyDz5uzhmmeu9EMb6GztnoQf69bqO1saTVVqs31TCCASYGA1UdEQSCAR0wggEZghVwcm9kLXBucy5hZGVtZS1kcmkuZnKCHWFnaXJwb3VybGF0cmFuc2l0aW9uLmFkZW1lLmZyghZjb2xsZWN0aXZpdGVzLmFkZW1lLmZyghRlbnRyZXByaXNlcy5hZGVtZS5mcoIVcGFydGljdWxpZXJzLmFkZW1lLmZyghFzZXJ2aWNlcy5hZGVtZS5mcoIhd3d3LmFnaXJwb3VybGF0cmFuc2l0aW9uLmFkZW1lLmZyghp3d3cuY29sbGVjdGl2aXRlcy5hZGVtZS5mcoIYd3d3LmVudHJlcHJpc2VzLmFkZW1lLmZyghl3d3cucGFydGljdWxpZXJzLmFkZW1lLmZyghV3d3cuc2VydmljZXMuYWRlbWUuZnIwDQYJKoZIhvcNAQEMBQADggGBABGlptCNzwVYlkuVIlh38cEZCvPTOqlhvv0ynlDsJESNv82uHq4jw2f/HbqGDQoluyTAd6YFrA/s1jLL83nJ9rtUPyWhDJXe1ys8yJybEdJLX/9r9+Bti1KiuGpXFjEJbKB92FoZxlhGZKo4aPAMMQEwk29aLqtV/3MEeUOFlLK8ww3xFsDxgHw/saUvJQ5D2bkU6kU9DXEHF8CD9B/EzBoG4YKHRHi+BShIOWpqAeRSsZ2Oa3ee4h97PDp30S6wpNak7ygJ6YlJsjq9h0yzglj8pLprBXixqdR5PnQqrkPT4ydP8j6No7HrSESKbKwUP4RaI00yTpiwbpBu0Ys3MXBN1/3P18GC59+ankRBQ3Kr39R0tuIMb1mlX9lUQ7H+TmdLjlmQvjn2le1YdE1R37TDIbfEhpfngp8veX0MxQZxTZDs0Xhly+F7V6pddVSI76hkWtn6Yk7kE7jliuiaLmli22lSA05bX5lsm1oQxIDkDAuq1uQYMZl0IhLGwqPR3A==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","prod-pns.ademe-dri.fr","",""
"cert_commonName_wo_SNI","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","default.produhost.net","",""
"cert_subjectAltName","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","prod-pns.ademe-dri.fr agirpourlatransition.ademe.fr collectivites.ademe.fr entreprises.ademe.fr particuliers.ademe.fr services.ademe.fr www.agirpourlatransition.ademe.fr www.collectivites.ademe.fr www.entreprises.ademe.fr www.particuliers.ademe.fr www.services.ademe.fr","",""
"cert_trust","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","no","",""
"cert_expirationStatus","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","292 >= 60 days","",""
"cert_notBefore","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","2023-10-10 00:00","",""
"cert_notAfter","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","2024-10-22 23:59","",""
"cert_extlifeSpan","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","not present","",""
"cert_crlDistributionPoints","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","--","",""
"cert_ocspURL","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","offered","",""
"cert_ocspRevoked","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","not revoked","",""
"cert_mustStapleExtension","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","--","",""
"DNS_CAArecord","www.agirpourlatransition.ademe.fr/185.86.179.42","443","LOW","--","",""
"certificate_transparency","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","yes (certificate extension)","",""
"certs_countServer","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","2","",""
"certs_list_ordering_problem","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","no","",""
"cert_caIssuers","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","Gandi RSA Domain Validation Secure Server CA 3 (Gandi from FR)","",""
"intermediate_cert <#1>","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGXDCCBESgAwIBAgIRAOkH5f+AdSJBCZB9ZyjKABAwDQYJKoZIhvcNAQEMBQAwgYgxCzAJBgNVBAYTAlVTMRMwEQYDVQQIEwpOZXcgSmVyc2V5MRQwEgYDVQQHEwtKZXJzZXkgQ2l0eTEeMBwGA1UEChMVVGhlIFVTRVJUUlVTVCBOZXR3b3JrMS4wLAYDVQQDEyVVU0VSVHJ1c3QgUlNBIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTIzMDgwMjAwMDAwMFoXDTMzMDgwMTIzNTk1OVowVjELMAkGA1UEBhMCRlIxDjAMBgNVBAoTBUdhbmRpMTcwNQYDVQQDEy5HYW5kaSBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQSAzMIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEAwrwuXKdKIiD9eu4fsNjLN0mS8HsTdDFyPPB5F5uUd6SJGutc7sqDd3T/p+gnVoAZERvzAz8+OEux1GN1UJ+Gd8s5btXJCbDV5DpvzJOhfztk5JmFKz2XBka+MvDAgiyiZKs3G6yoMk8lEOu6NOsK3X8D1w0E6/C/ROa6Ml0ROnKm7vHGNVTfXTP5IqiNh2JXmp4vD23gemf8nfuI2FngayMNsjm6SwpVYWfT3S8jn5el52FKzwo+uKVZAjNH1ulgWoyO8p+PCsP+CvaEGDId3leSUVhPBBPRsxL42jjqo9aOKREgmrGco39JGf4OImxM8vKxQ9AjDrRTRETB9V9jbRf3v3Tojt3vBBwa3xQelVp9xUWQxo/5dV73g/c7WWAvZ628XUw6k6vn6bY7qWuhehUO02plRLd5zP8nBORCbPmFCI97lZAnDYLprB4e9IgCPJp+0zQDLr9o+eNKtR0a2Txb6nzGahIPi3a7QCH6+Yq4iwYVEQm+e6KBJZOm+YiLAgMBAAGjggFwMIIBbDAfBgNVHSMEGDAWgBRTeb9aqitKz1SA4dibwJ3ysgNmyzAdBgNVHQ4EFgQUgRGS3mYypbBbMz1lQ4X81AQt8a4wDgYDVR0PAQH/BAQDAgGGMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMCIGA1UdIAQbMBkwDQYLKwYBBAGyMQECAhowCAYGZ4EMAQIBMFAGA1UdHwRJMEcwRaBDoEGGP2h0dHA6Ly9jcmwudXNlcnRydXN0LmNvbS9VU0VSVHJ1c3RSU0FDZXJ0aWZpY2F0aW9uQXV0aG9yaXR5LmNybDBxBggrBgEFBQcBAQRlMGMwOgYIKwYBBQUHMAKGLmh0dHA6Ly9jcnQudXNlcnRydXN0LmNvbS9VU0VSVHJ1c3RSU0FBQUFDQS5jcnQwJQYIKwYBBQUHMAGGGWh0dHA6Ly9vY3NwLnVzZXJ0cnVzdC5jb20wDQYJKoZIhvcNAQEMBQADggIBADvVncOMStREyA00ZSRUmrkmR3KzAlHVz06X1ydG9EpZz+JTQMWO809buLbDnr6t9z9jVnsDTQnWcMG4qiIkwhJVLxOVXUO+LFSBMskOe1SPBtHwHS42DeZ8QTgbRlW9p/Ey9wIo+MS2tryQ9eaDTkc2FBed/82VjrdsQoeoTyuDdp4tqarixjM/iJMgyEAMCpTkx4EqXJ/z7qgXusacsxMzt6NLv7FYcaKGbwjKqzrRvEk/+ZYnZc5mxnautf0uwRCcOe0kCOh1fd+g6Tyd+cSj6oGcJY/f/Db0sxELpzGqjRkbXan+eMojQfsgIe1n7SVyI5Yxz2RnQQL5ZT5K1mBcucqsTqkk3C7L3hF4hkwC/Otm+badymHQcnbE1Pmz6ymqj2vtwT0mEQzetQdbvv3jc3ey4YcxirAM1ihxtXeINsEP1ndUV/0v+qqmk9iCoIjZQce8vAdziZqBYxO3NiZwTRAtqseiZWLJqQ077fy3ebdjmw6y5U+DhDW2kxF/e+FJnu53DuY5/bE+oUneY770A7BfCuH+6uhEOaMNsn21AHymLr1xlRPQYR0DMgHmsGTqdINcQfot1mlIXr05HQUK0b84CPgEU0zvVQL+j9dc/4rh2sR6rl//tjG01Q+zQKStnR2NlNNrElDUC9IDmvL9JcF20cvOlE4R0lfTXa1k\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","F0104FF17274608F1A18A1E1EABF8E68A51F500A87E2EFA22ECB622763FEF4CF","",""
"intermediate_cert_notBefore <#1>","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","2023-08-02 00:00","",""
"intermediate_cert_notAfter <#1>","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","2033-08-01 23:59","",""
"intermediate_cert_expiration <#1>","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","Gandi RSA Domain Validation Secure Server CA 3 <-- USERTrust RSA Certification Authority","",""
"intermediate_cert_badOCSP","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","-1 seconds from localtime","",""
"HTTP_headerTime","www.agirpourlatransition.ademe.fr/185.86.179.42","443","INFO","1704408401","",""
"HSTS_time","www.agirpourlatransition.ademe.fr/185.86.179.42","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
