"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","HTTP","",""
"pre_128cipher","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","not offered","",""
"SSLv3","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","not offered","",""
"TLS1","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered","",""
"TLS1_1","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered","",""
"TLS1_2","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","offered","",""
"TLS1_3","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered","",""
"cipherlist_NULL","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","offered","",""
"cipher_order-tls1_2","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","NOT a cipher order configured","",""
"FS","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","offered","",""
"FS_ciphers","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","OK","prime256v1","",""
"TLS_extensions","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15' 'next protocol/#13172'","",""
"TLS_session_ticket","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","yes","",""
"sessionresumption_ticket","www.archives-nationales.culture.gouv.fr/143.126.211.246","443","INFO","not supported","",""
