"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.douane.gouv.fr/194.250.56.167","443","INFO","HTTP","",""
"pre_128cipher","www.douane.gouv.fr/194.250.56.167","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.douane.gouv.fr/194.250.56.167","443","OK","not offered","",""
"SSLv3","www.douane.gouv.fr/194.250.56.167","443","OK","not offered","",""
"TLS1","www.douane.gouv.fr/194.250.56.167","443","INFO","not offered","",""
"TLS1_1","www.douane.gouv.fr/194.250.56.167","443","INFO","not offered","",""
"TLS1_2","www.douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"TLS1_3","www.douane.gouv.fr/194.250.56.167","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.douane.gouv.fr/194.250.56.167","443","INFO","http/1.1","",""
"cipherlist_NULL","www.douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.douane.gouv.fr/194.250.56.167","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.douane.gouv.fr/194.250.56.167","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"cipherlist_STRONG_FS","www.douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"cipher_order-tls1_2","www.douane.gouv.fr/194.250.56.167","443","OK","server","",""
"cipherorder_TLSv1_2","www.douane.gouv.fr/194.250.56.167","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.douane.gouv.fr/194.250.56.167","443","OK","server","",""
"FS","www.douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"FS_ciphers","www.douane.gouv.fr/194.250.56.167","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.douane.gouv.fr/194.250.56.167","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.douane.gouv.fr/194.250.56.167","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.douane.gouv.fr/194.250.56.167","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.douane.gouv.fr/194.250.56.167","443","INFO","yes","",""
"sessionresumption_ticket","www.douane.gouv.fr/194.250.56.167","443","INFO","supported","",""
"sessionresumption_ID","www.douane.gouv.fr/194.250.56.167","443","INFO","supported","",""
"TLS_timestamp","www.douane.gouv.fr/194.250.56.167","443","INFO","random","",""
"cert_compression","www.douane.gouv.fr/194.250.56.167","443","INFO","N/A","",""
"clientAuth","www.douane.gouv.fr/194.250.56.167","443","INFO","none","",""
"cert_numbers","www.douane.gouv.fr/194.250.56.167","443","INFO","1","",""
"cert_signatureAlgorithm","www.douane.gouv.fr/194.250.56.167","443","OK","SHA256 with RSA","",""
"cert_keySize","www.douane.gouv.fr/194.250.56.167","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.douane.gouv.fr/194.250.56.167","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.douane.gouv.fr/194.250.56.167","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.douane.gouv.fr/194.250.56.167","443","INFO","1AECDCD78163188EB28B13820B79D0E1","",""
"cert_serialNumberLen","www.douane.gouv.fr/194.250.56.167","443","INFO","16","",""
"cert_fingerprintSHA1","www.douane.gouv.fr/194.250.56.167","443","INFO","AD340E16430731C6E255A081455E8D43E9403265","",""
"cert_fingerprintSHA256","www.douane.gouv.fr/194.250.56.167","443","INFO","FE4181A74A2F42B5353960430D29DBF9B2085315BEEDA19AF1D900DCFF4D2AF1","",""
"cert","www.douane.gouv.fr/194.250.56.167","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIYjCCBkqgAwIBAgIQGuzc14FjGI6yixOCC3nQ4TANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjMwODE2MjIwMDAwWhcNMjQwOTExMjE1OTU5WjCBgTELMAkGA1UEBhMCRlIxEjAQBgNVBAcMCU1PTlRSRVVJTDEwMC4GA1UECgwnRElSIEdFTiBERVMgRE9VQU5FUyBFVCBEUk9JVFMgSU5ESVJFQ1RTMRcwFQYDVQQDDA5kb3VhbmUuZ291di5mcjETMBEGA1UEBRMKUzI4MjI5MDc3MDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAOZeztxzS/l2hcp2PnFiGoXiT9JR5Urh9GpZyqvK1X3EJYvVAnsOVehNWTqsbv4qiiTX+t4Y3Eu6BqCaF+Nm3f/nNzUynyb7QZCSSc79egSxcn/mB6OegJ5Cgp3VbyWtYrmtnnNkvW00Xw/4ndm7K1+iqFSZobVE68lR/SvQ5gVhvRu81VG8hJxBSUNyvdNc1Jq57tZwGeNWDg6cAci0UjpRZ+5ufm7eayPwXZgVn6BOH8YAboONz6t4jS1UkoT5se6uDdyOaOQN2Kk+dG9otcfrPeRHpdHksQetfTubFAjRBjvnMIe4gsfcgrQvNqVfs3k43I5OAbsR8C7ya2b9vh8CAwEAAaOCA9cwggPTMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDAtBgNVHREEJjAkghJ3d3cuZG91YW5lLmdvdXYuZnKCDmRvdWFuZS5nb3V2LmZyMB0GA1UdDgQWBBQi9pNpM69UhTByWSr5vGPJOtjeEjCCAX8GCisGAQQB1nkCBAIEggFvBIIBawFpAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGKAopFrgAABAMARzBFAiAZH3ITGY8L8jJ6TUTMOhSMUlS5Pv+Xycq3kz5hy2aM9QIhAOfcKfhrk1RunI2vNIQUT92JX5NJ1OpoZZ2Owqw+rHLMAHcAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGKAopBvQAABAMASDBGAiEA/1ROVXFBbEJXu8ou053Y2EYIVSE7R/w+aYfDul+Ybi4CIQCDFW8lCL/S/C8EvwDae/KTxH62uJEk2q5/0FTWMNYB5gB2AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABigKKTHkAAAQDAEcwRQIhAIzhbweg94GrQnFi7zIhOsOHYEqaYUgHWZaNaHclFoK2AiBngemptmRRFN2+DrjoMEqmjIfF8Kx8rM4S3xO11kQsGDANBgkqhkiG9w0BAQsFAAOCAgEAbB/w2vojx6uTWvSc40so7Ju4r5uf6sOuNEa9bBbMwyXgPlSeO2evcY/TaXUc4oZLlPCpPJ5+7Zp0ZKkj1yFmisKhZTAC3O3G2fIuEADi/zefiIBmbDXr3vpmsqM2FNt/82GnzV2V9qf0NpESrxCP9pi9XL4TeImEnjijJvM4sYPoErDQw/bkymOdGVUdj90YYKiU87ErV7Es9c8J/R7+dIo11PWaPHQR/f5UTpso/nfnwnUNR1qWAe9hrlhadBmaU3LUD5G2JmB+0earrGbVz1u80g2/0qtEpm9RlNENKDMVErR3FGPwE/8xlYcu4lUePe1RkrW1+1i0AajscOji+cpsGwxivdDhbqzv+U/Zo/dg2ecyf9nqy8qY6Xt7RpQFa4Ec48kXkFpE8vm5ylytyQgaQqEu4N1UIX3WFWP10xo+n0OP4rs2erejm39HAaavQeOmZjunj9nRuUS35q0kXvhEZujcJouiY7Ub/cFhdGf/bfsw8JGbOz8cE7+x0XdmYcBi2Yr3FfTgPWKpsK4TsuPQYaYUQ+BB2bWhKg57afh8TNp0i/U/g6AQidIl49lXesaqog9OoR15/Wz4YY2VKHZGZb4WwbXL8cYsWKql45XhRAUUwJQ2mKVKkSrrhQlqVhrRu04tWV8vEFp3XXswnfjAD+niu5L0Jr2vdGgtrTc=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.douane.gouv.fr/194.250.56.167","443","OK","douane.gouv.fr","",""
"cert_commonName_wo_SNI","www.douane.gouv.fr/194.250.56.167","443","INFO","douane.gouv.fr","",""
"cert_subjectAltName","www.douane.gouv.fr/194.250.56.167","443","INFO","www.douane.gouv.fr douane.gouv.fr","",""
"cert_trust","www.douane.gouv.fr/194.250.56.167","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","www.douane.gouv.fr/194.250.56.167","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.douane.gouv.fr/194.250.56.167","443","INFO","no","",""
"cert_expirationStatus","www.douane.gouv.fr/194.250.56.167","443","OK","250 >= 60 days","",""
"cert_notBefore","www.douane.gouv.fr/194.250.56.167","443","INFO","2023-08-16 22:00","",""
"cert_notAfter","www.douane.gouv.fr/194.250.56.167","443","OK","2024-09-11 21:59","",""
"cert_extlifeSpan","www.douane.gouv.fr/194.250.56.167","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.douane.gouv.fr/194.250.56.167","443","INFO","not present","",""
"cert_crlDistributionPoints","www.douane.gouv.fr/194.250.56.167","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","www.douane.gouv.fr/194.250.56.167","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","www.douane.gouv.fr/194.250.56.167","443","LOW","not offered","",""
"cert_mustStapleExtension","www.douane.gouv.fr/194.250.56.167","443","INFO","--","",""
"DNS_CAArecord","www.douane.gouv.fr/194.250.56.167","443","LOW","--","",""
"certificate_transparency","www.douane.gouv.fr/194.250.56.167","443","OK","yes (certificate extension)","",""
"certs_countServer","www.douane.gouv.fr/194.250.56.167","443","INFO","3","",""
"certs_list_ordering_problem","www.douane.gouv.fr/194.250.56.167","443","INFO","no","",""
"cert_caIssuers","www.douane.gouv.fr/194.250.56.167","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
