"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","HTTP","",""
"pre_128cipher","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ecolabeltoolbox.com/185.86.179.40","443","OK","not offered","",""
"SSLv3","www.ecolabeltoolbox.com/185.86.179.40","443","OK","not offered","",""
"TLS1","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","not offered","",""
"TLS1_1","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","not offered","",""
"TLS1_2","www.ecolabeltoolbox.com/185.86.179.40","443","OK","offered","",""
"TLS1_3","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","http/1.1","",""
"cipherlist_NULL","www.ecolabeltoolbox.com/185.86.179.40","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ecolabeltoolbox.com/185.86.179.40","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ecolabeltoolbox.com/185.86.179.40","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ecolabeltoolbox.com/185.86.179.40","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.ecolabeltoolbox.com/185.86.179.40","443","OK","offered","",""
"cipher_order-tls1_2","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.ecolabeltoolbox.com/185.86.179.40","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.ecolabeltoolbox.com/185.86.179.40","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"supportedciphers_TLSv1_2","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","NOT a cipher order configured","",""
"FS","www.ecolabeltoolbox.com/185.86.179.40","443","OK","offered","",""
"FS_ciphers","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.ecolabeltoolbox.com/185.86.179.40","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","yes","",""
"sessionresumption_ticket","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","supported","",""
"sessionresumption_ID","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","supported","",""
"TLS_timestamp","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","random","",""
"cert_compression","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","N/A","",""
"clientAuth","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","none","",""
"cert_numbers","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","1","",""
"cert_signatureAlgorithm","www.ecolabeltoolbox.com/185.86.179.40","443","OK","SHA256 with RSA","",""
"cert_keySize","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","047D1937581032B9CF52CD07538D4B8E5369","",""
"cert_serialNumberLen","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","18","",""
"cert_fingerprintSHA1","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","99492EF77A2007FDC4D9DD308A798D8643537D1F","",""
"cert_fingerprintSHA256","www.ecolabeltoolbox.com/185.86.179.40","443","INFO","B11E6A3CD68E58C7FDBD2E2F6AB800FC2FE0B2AF519AECDF69F90A00426DEFFB","",""
