"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","HTTP","",""
"pre_128cipher","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","",""
"SSLv3","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","",""
"TLS1","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","",""
"TLS1_1","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","",""
"TLS1_2","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","offered","",""
"TLS1_3","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","offered with final","",""
"ALPN_HTTP2","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","h2","",""
"ALPN","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","http/1.1","",""
"cipherlist_NULL","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","offered","",""
"cipher_order-tls1_2","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","server","",""
"cipherorder_TLSv1_2","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","server","",""
"FS","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","offered","",""
"FS_ciphers","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","yes","",""
"sessionresumption_ticket","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not supported","",""
"sessionresumption_ID","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","supported","",""
"TLS_timestamp","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","random","",""
"certificate_compression","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","none","",""
"clientAuth","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","none","",""
"cert_numbers","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","1","",""
"cert_signatureAlgorithm","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","SHA256 with RSA","",""
"cert_keySize","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","02BE470593E080647E6E056390C49069","",""
"cert_serialNumberLen","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","16","",""
"cert_fingerprintSHA1","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","11F83AB6BC96F7B81A8F5927DB377B1F4AC04631","",""
"cert_fingerprintSHA256","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","1BFABF2284607F91309C673BF0831A220EAFCDEB6D348626497C5F2F830F2BC8","",""
"cert","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGmjCCBYKgAwIBAgIQAr5HBZPggGR+bgVjkMSQaTANBgkqhkiG9w0BAQsFADBeMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMR0wGwYDVQQDExRUaGF3dGUgVExTIFJTQSBDQSBHMTAeFw0yMzA1MjYwMDAwMDBaFw0yNDA2MDgyMzU5NTlaMIGXMQswCQYDVQQGEwJGUjEXMBUGA1UECAwOw45sZS1kZS1GcmFuY2UxDjAMBgNVBAcTBVBhcmlzMTgwNgYDVQQKEy9BR0VOQ0UgTkFUSU9OQUxFIERFIExBIENPSEVTSU9OIERFUyBURVJSSVRPSVJFUzElMCMGA1UEAxMcd3d3LmV1cm9wZS1lbi1mcmFuY2UuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALq+7idBxRr+i1kTU9Fpb8Cgtqp0r04JcF2gH4MLLF4SNSHpckgUAu9fhhgYwW0d0pBkz8bqvcClgsx8KKZ71+ALBcJWuItnVN+r4DL9ol7t5o9QrOcodqMGuV0IYAjGW42VEnQKkjCkqSmsJ7pbWNRVf4+YGknYYPlW7ptD6xjmCSVVY6+xEh7VKEfdEq62sm0UCOMr14SHEMBNA3+t9f+1o9yAWfaF1ZcEzYeI81hznGcMoY1N0iKzRh27HKPAE3d0HquQUwT/flV3TKvIx6a40v+fR/Zxgt0u2Ijz91EVK/P3+Uy28T1fXrt7j2NKEPM7Phow5RX5pDjDwNoCdw8CAwEAAaOCAxgwggMUMB8GA1UdIwQYMBaAFKWM/jLM6w8s1BnGCLgAJIhdw8W3MB0GA1UdDgQWBBS4wuIGkkGegf2M5AKUpdsocC24JTAnBgNVHREEIDAeghx3d3cuZXVyb3BlLWVuLWZyYW5jZS5nb3V2LmZyMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwOwYDVR0fBDQwMjAwoC6gLIYqaHR0cDovL2NkcC50aGF3dGUuY29tL1RoYXd0ZVRMU1JTQUNBRzEuY3JsMD4GA1UdIAQ3MDUwMwYGZ4EMAQICMCkwJwYIKwYBBQUHAgEWG2h0dHA6Ly93d3cuZGlnaWNlcnQuY29tL0NQUzBwBggrBgEFBQcBAQRkMGIwJAYIKwYBBQUHMAGGGGh0dHA6Ly9zdGF0dXMudGhhd3RlLmNvbTA6BggrBgEFBQcwAoYuaHR0cDovL2NhY2VydHMudGhhd3RlLmNvbS9UaGF3dGVUTFNSU0FDQUcxLmNydDAJBgNVHRMEAjAAMIIBfgYKKwYBBAHWeQIEAgSCAW4EggFqAWgAdQDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYhXmBHfAAAEAwBGMEQCIEH2sv2U2k7jjYJ+KwXebkIZ46s4pPoSmUpGdwa2AulYAiAScgjJJ5XCD08F8S6pwo86ZgVZRvBMuW1J61AqSNmzKQB2AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABiFeYEfMAAAQDAEcwRQIhALvtqWGY+0sDt+9Jh7Hgumm8qVT1DDjKaFF0Hj+mwsEaAiB9grtgr42ebSQISxi7OyivTqovhItKV0MikyJREHtI8wB3ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABiFeYEcAAAAQDAEgwRgIhALLPCY1B9VNC81LcpmBCokJOZVRQhPfEW1un2uv2Lep8AiEAhz9stkKRSfYWocQ0vtDnbLTpRWC54DfKSh1klbrslPwwDQYJKoZIhvcNAQELBQADggEBAIKv8mJPb/oOnYy/rsRx5v5ZictQmzGnHZHoYEC0flX6ckjVWEuimU1jz7A3SseHKIs/08AYOe+cqCQEsljJFPQuTecP11NmK+P5Z2rZZHmbrbFeq/5PdiWUEXTwDxq5hbCQInIZKNAXhq8Fgdg3LIbpUf1zaMb+V6DJpE7ShVjGKZ+L+TjC+i3YuQ+MsIVyaTroLfa5TWd6XIZfdOMeK3vTuUMjzwx1JBV3dkQHPP6kPNOR5s98784fntlzWs3En3kZbkVwEERtnnVexO0IDJ9ZWn5OclYoNOFCx1JcXxq/xVeG2v8rCaVmCb9kwYUCYt13rjcD3TekdF4UdoczHjc=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","www.europe-en-france.gouv.fr","",""
"cert_commonName_wo_SNI","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","europe-en-france.gouv.fr","",""
"cert_subjectAltName","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","www.europe-en-france.gouv.fr","",""
"cert_trust","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","no","",""
"cert_expirationStatus","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","155 >= 60 days","",""
"cert_notBefore","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","2023-05-26 00:00","",""
"cert_notAfter","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","2024-06-08 23:59","",""
"cert_extlifeSpan","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","not present","",""
"cert_crlDistributionPoints","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","http://cdp.thawte.com/ThawteTLSRSACAG1.crl","",""
"cert_ocspURL","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","http://status.thawte.com","",""
"OCSP_stapling","www.europe-en-france.gouv.fr/46.105.190.177","443","LOW","not offered","",""
"cert_mustStapleExtension","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","--","",""
"DNS_CAArecord","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","issue=digicert.com, issuewild=;","",""
"certificate_transparency","www.europe-en-france.gouv.fr/46.105.190.177","443","OK","yes (certificate extension)","",""
"certs_countServer","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","2","",""
"certs_list_ordering_problem","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","no","",""
"cert_caIssuers","www.europe-en-france.gouv.fr/46.105.190.177","443","INFO","Thawte TLS RSA CA G1 (DigiCert Inc from US)","",""
