"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","HTTP","",""
"pre_128cipher","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.evenementresponsable.ademe.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","www.evenementresponsable.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","www.evenementresponsable.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"FS","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","offered","",""
"FS_ciphers","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","prime256v1","",""
"TLS_extensions","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","valid for 299 seconds only (<daily)","",""
"SSL_sessionID_support","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","yes","",""
"sessionresumption_ticket","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","supported","",""
"sessionresumption_ID","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","not supported","",""
"TLS_timestamp","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","random","",""
"certificate_compression","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","none","",""
"clientAuth","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","none","",""
"cert_numbers","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","1","",""
"cert_signatureAlgorithm","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","SHA256 with RSA","",""
"cert_keySize","www.evenementresponsable.ademe.fr/217.70.184.56","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","54E804E63413DF6FD0332AB23219CD28","",""
"cert_serialNumberLen","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","16","",""
"cert_fingerprintSHA1","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","A1BD02EC74F38CBB3F6DF0EA323E922E34460B40","",""
"cert_fingerprintSHA256","www.evenementresponsable.ademe.fr/217.70.184.56","443","INFO","1954E1E7235E577C36078C2BE0EBD21F03384E12F06B4EC4BC26EDF8E2BECA05","",""
