"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.fr.label2020.eu/85.215.11.226","443","INFO","HTTP","",""
"pre_128cipher","www.fr.label2020.eu/85.215.11.226","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.fr.label2020.eu/85.215.11.226","443","OK","not offered","",""
"SSLv3","www.fr.label2020.eu/85.215.11.226","443","OK","not offered","",""
"TLS1","www.fr.label2020.eu/85.215.11.226","443","INFO","not offered","",""
"TLS1_1","www.fr.label2020.eu/85.215.11.226","443","INFO","not offered","",""
"TLS1_2","www.fr.label2020.eu/85.215.11.226","443","OK","offered","",""
"TLS1_3","www.fr.label2020.eu/85.215.11.226","443","OK","offered with final","",""
"ALPN","www.fr.label2020.eu/85.215.11.226","443","INFO","not offered","",""
"cipherlist_NULL","www.fr.label2020.eu/85.215.11.226","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.fr.label2020.eu/85.215.11.226","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.fr.label2020.eu/85.215.11.226","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.fr.label2020.eu/85.215.11.226","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.fr.label2020.eu/85.215.11.226","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.fr.label2020.eu/85.215.11.226","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.fr.label2020.eu/85.215.11.226","443","OK","offered","",""
"cipherlist_STRONG_FS","www.fr.label2020.eu/85.215.11.226","443","OK","offered","",""
"cipher_order-tls1_2","www.fr.label2020.eu/85.215.11.226","443","OK","server","",""
"cipherorder_TLSv1_2","www.fr.label2020.eu/85.215.11.226","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.fr.label2020.eu/85.215.11.226","443","OK","server","",""
"FS","www.fr.label2020.eu/85.215.11.226","443","OK","offered","",""
"FS_ciphers","www.fr.label2020.eu/85.215.11.226","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.fr.label2020.eu/85.215.11.226","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.fr.label2020.eu/85.215.11.226","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.fr.label2020.eu/85.215.11.226","443","INFO","no -- no lifetime advertised","",""
