"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.francenum.gouv.fr/46.105.201.59","443","INFO","HTTP","",""
"pre_128cipher","www.francenum.gouv.fr/46.105.201.59","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.francenum.gouv.fr/46.105.201.59","443","OK","not offered","",""
"SSLv3","www.francenum.gouv.fr/46.105.201.59","443","OK","not offered","",""
"TLS1","www.francenum.gouv.fr/46.105.201.59","443","INFO","not offered","",""
"TLS1_1","www.francenum.gouv.fr/46.105.201.59","443","INFO","not offered","",""
"TLS1_2","www.francenum.gouv.fr/46.105.201.59","443","OK","offered","",""
"TLS1_3","www.francenum.gouv.fr/46.105.201.59","443","OK","offered with final","",""
"ALPN_HTTP2","www.francenum.gouv.fr/46.105.201.59","443","OK","h2","",""
"cipherlist_NULL","www.francenum.gouv.fr/46.105.201.59","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.francenum.gouv.fr/46.105.201.59","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.francenum.gouv.fr/46.105.201.59","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.francenum.gouv.fr/46.105.201.59","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.francenum.gouv.fr/46.105.201.59","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.francenum.gouv.fr/46.105.201.59","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.francenum.gouv.fr/46.105.201.59","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.francenum.gouv.fr/46.105.201.59","443","OK","offered","",""
"cipher_order-tls1_2","www.francenum.gouv.fr/46.105.201.59","443","OK","server","",""
"cipherorder_TLSv1_2","www.francenum.gouv.fr/46.105.201.59","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.francenum.gouv.fr/46.105.201.59","443","OK","server","",""
"FS","www.francenum.gouv.fr/46.105.201.59","443","OK","offered","",""
"FS_ciphers","www.francenum.gouv.fr/46.105.201.59","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.francenum.gouv.fr/46.105.201.59","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.francenum.gouv.fr/46.105.201.59","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.francenum.gouv.fr/46.105.201.59","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.francenum.gouv.fr/46.105.201.59","443","INFO","yes","",""
"sessionresumption_ticket","www.francenum.gouv.fr/46.105.201.59","443","INFO","not supported","",""
"sessionresumption_ID","www.francenum.gouv.fr/46.105.201.59","443","INFO","not supported","",""
"TLS_timestamp","www.francenum.gouv.fr/46.105.201.59","443","INFO","random","",""
"certificate_compression","www.francenum.gouv.fr/46.105.201.59","443","INFO","none","",""
"clientAuth","www.francenum.gouv.fr/46.105.201.59","443","INFO","none","",""
"cert_numbers","www.francenum.gouv.fr/46.105.201.59","443","INFO","1","",""
"cert_signatureAlgorithm","www.francenum.gouv.fr/46.105.201.59","443","OK","SHA384 with RSA","",""
"cert_keySize","www.francenum.gouv.fr/46.105.201.59","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.francenum.gouv.fr/46.105.201.59","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.francenum.gouv.fr/46.105.201.59","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.francenum.gouv.fr/46.105.201.59","443","INFO","976018C0F67B2D3B15C0CA5BB8DB62E9","",""
"cert_serialNumberLen","www.francenum.gouv.fr/46.105.201.59","443","INFO","16","",""
"cert_fingerprintSHA1","www.francenum.gouv.fr/46.105.201.59","443","INFO","9A049BD3EDDD7B045265FA1CB16220A580380FC6","",""
"cert_fingerprintSHA256","www.francenum.gouv.fr/46.105.201.59","443","INFO","F3677CC0B37ED08430D0A6E2292CBB34527151976129FA97ACEE6EAA901C062D","",""
"cert","www.francenum.gouv.fr/46.105.201.59","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGjjCCBPagAwIBAgIRAJdgGMD2ey07FcDKW7jbYukwDQYJKoZIhvcNAQEMBQAwVjELMAkGA1UEBhMCRlIxDjAMBgNVBAoTBUdhbmRpMTcwNQYDVQQDEy5HYW5kaSBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQSAzMB4XDTIzMTIxMjAwMDAwMFoXDTI1MDEwNTIzNTk1OVowIDEeMBwGA1UEAxMVd3d3LmZyYW5jZW51bS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1Q9mx8gGChrxny37IugtaApi0oiHuhk8vWX0GhwhfmqLQ26nTyf0BorUQRLxiFiJBZ1JBvHZkLfC3YY3phx0Y0RlwAZcaLltgUzpPJO0nxeSpo3EQIQVQaW+dzhF4dMEN4PJt7Vv1+sdUr8U/UGLyYesYKHof+tjSS/m2YNcA8VpT4/Ck4UYIaBlmbgfaWDJ7PbpXE6LGHop7UVMju9DkAm68dxAFgULdPlu6j/hS8u1c4hoUVNmVfszKVjd7yuN4tWpas6w98ZUVrBD0TtOd/bCb8nLnNGDP3ZxhRtdDWXlyQevpGjeYrGg0LDUe35C4oA82MfGUUK/Jj/+dK+X/QIDAQABo4IDCzCCAwcwHwYDVR0jBBgwFoAUgRGS3mYypbBbMz1lQ4X81AQt8a4wHQYDVR0OBBYEFJWZr9tcsZTHi+gMAN1BZmMOHTygMA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBJBgNVHSAEQjBAMDQGCysGAQQBsjEBAgIaMCUwIwYIKwYBBQUHAgEWF2h0dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECATCBgwYIKwYBBQUHAQEEdzB1ME4GCCsGAQUFBzAChkJodHRwOi8vY3J0LnNlY3RpZ28uY29tL0dhbmRpUlNBRG9tYWluVmFsaWRhdGlvblNlY3VyZVNlcnZlckNBMy5jcnQwIwYIKwYBBQUHMAGGF2h0dHA6Ly9vY3NwLnNlY3RpZ28uY29tMDMGA1UdEQQsMCqCFXd3dy5mcmFuY2VudW0uZ291di5mcoIRZnJhbmNlbnVtLmdvdXYuZnIwggGABgorBgEEAdZ5AgQCBIIBcASCAWwBagB2AM8RVu7VLnyv84db2Wkum+kacWdKsBfsrAHSW3fOzDsIAAABjF1z0soAAAQDAEcwRQIgGbRfrvCh4ZnRM7LrS/Jimxz2xZ0GWvXWShNNp58OemACIQCphd+MdbgX7BhXU2Q2/2yfbh7J1iThEfInbQL2gS6KLgB3AKLjCuRF772tm3447Udnd1PXgluElNcrXhssxLlQpEfnAAABjF1z0zkAAAQDAEgwRgIhAKu6CPtFGZKCR0VE9CZz8nDK9prERRHHIMe6CPDUowSlAiEA+eRVMPvm7EmXT3sR5YUpMvJ7nwbWwnS2eMqhbVGl6OUAdwBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAYxdc9MBAAAEAwBIMEYCIQC0qcLOreN0HpRqumZd6EO07iET/uuZqUeR5ytxtKv6cQIhANW3D03xq1VcSoTfykxRaptFEMJj3nUo6zALEWpGjfQkMA0GCSqGSIb3DQEBDAUAA4IBgQA1d7l1GyQQQbT8m6UzPnuVdlIMB/8SA1iI1dEWRLj23eijW6D9RRYGqyLpH4hEjRHa6igr281AxMVoqcwedbKS4qbKClmdzjBYaI0zRDraBbpgAbMxPgm3axZEWvafmpQLQVaKDI0bHrD1LK2h6VFn2GTaMTMXmw9YbE2HdJdiShWie4yd0X+LYuz7BduRDyMVeGsdgE8bNz8ic0sBkMocegLbvpX7pFAlFyU/yIEWgedQnpUiaJaEh3og84CBAiCy1nHrkMWZ+llgSpe6eTjkgLX9VC1+dPHyL+LQ55lUjFC6N1oGBQAOwga9PIZfryD2LLpgWkX2LqccdExvsiU1XJBfA9WaTmJWQnc6U9HLf3WCnr6sIKSqyn+fXy5L0mhIwUCdtsmn3v0q7zdvYiZ0rmRCFXRX2KtpnRHMRtX4f6SxbrKZjyZ20nQIJiu/1OFPiISItTiSBh4hC74j2Qb8R7YLNtl96zEOcSms+6Y4LPNnSn8T4nenBwyCp7bRyw0=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.francenum.gouv.fr/46.105.201.59","443","OK","www.francenum.gouv.fr","",""
"cert_commonName_wo_SNI","www.francenum.gouv.fr/46.105.201.59","443","INFO","cdn.ovh.net","",""
"cert_subjectAltName","www.francenum.gouv.fr/46.105.201.59","443","INFO","www.francenum.gouv.fr francenum.gouv.fr","",""
"cert_trust","www.francenum.gouv.fr/46.105.201.59","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.francenum.gouv.fr/46.105.201.59","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.francenum.gouv.fr/46.105.201.59","443","INFO","no","",""
"cert_expirationStatus","www.francenum.gouv.fr/46.105.201.59","443","OK","366 >= 60 days","",""
"cert_notBefore","www.francenum.gouv.fr/46.105.201.59","443","INFO","2023-12-12 00:00","",""
"cert_notAfter","www.francenum.gouv.fr/46.105.201.59","443","OK","2025-01-05 23:59","",""
"cert_extlifeSpan","www.francenum.gouv.fr/46.105.201.59","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.francenum.gouv.fr/46.105.201.59","443","INFO","not present","",""
"cert_crlDistributionPoints","www.francenum.gouv.fr/46.105.201.59","443","INFO","--","",""
"cert_ocspURL","www.francenum.gouv.fr/46.105.201.59","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","www.francenum.gouv.fr/46.105.201.59","443","LOW","not offered","",""
"cert_mustStapleExtension","www.francenum.gouv.fr/46.105.201.59","443","INFO","--","",""
"DNS_CAArecord","www.francenum.gouv.fr/46.105.201.59","443","OK","issue=sectigo.com","",""
"certificate_transparency","www.francenum.gouv.fr/46.105.201.59","443","OK","yes (certificate extension)","",""
