"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.inao.gouv.fr/80.87.225.52","443","INFO","HTTP","",""
"pre_128cipher","www.inao.gouv.fr/80.87.225.52","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.inao.gouv.fr/80.87.225.52","443","OK","not offered","",""
"SSLv3","www.inao.gouv.fr/80.87.225.52","443","OK","not offered","",""
"TLS1","www.inao.gouv.fr/80.87.225.52","443","LOW","offered (deprecated)","",""
"TLS1_1","www.inao.gouv.fr/80.87.225.52","443","LOW","offered (deprecated)","",""
"TLS1_2","www.inao.gouv.fr/80.87.225.52","443","OK","offered","",""
"TLS1_3","www.inao.gouv.fr/80.87.225.52","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.inao.gouv.fr/80.87.225.52","443","INFO","not offered","",""
"cipherlist_NULL","www.inao.gouv.fr/80.87.225.52","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.inao.gouv.fr/80.87.225.52","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.inao.gouv.fr/80.87.225.52","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.inao.gouv.fr/80.87.225.52","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.inao.gouv.fr/80.87.225.52","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.inao.gouv.fr/80.87.225.52","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.inao.gouv.fr/80.87.225.52","443","OK","offered","",""
"cipherlist_STRONG_FS","www.inao.gouv.fr/80.87.225.52","443","OK","offered","",""
"cipher_order-tls1","www.inao.gouv.fr/80.87.225.52","443","OK","server","",""
"cipherorder_TLSv1","www.inao.gouv.fr/80.87.225.52","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.inao.gouv.fr/80.87.225.52","443","OK","server","",""
"cipherorder_TLSv1_1","www.inao.gouv.fr/80.87.225.52","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.inao.gouv.fr/80.87.225.52","443","OK","server","",""
"cipherorder_TLSv1_2","www.inao.gouv.fr/80.87.225.52","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.inao.gouv.fr/80.87.225.52","443","OK","server","",""
"FS","www.inao.gouv.fr/80.87.225.52","443","OK","offered","",""
"FS_ciphers","www.inao.gouv.fr/80.87.225.52","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.inao.gouv.fr/80.87.225.52","443","OK","prime256v1","",""
"TLS_extensions","www.inao.gouv.fr/80.87.225.52","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","www.inao.gouv.fr/80.87.225.52","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.inao.gouv.fr/80.87.225.52","443","INFO","yes","",""
"sessionresumption_ticket","www.inao.gouv.fr/80.87.225.52","443","INFO","supported","",""
"sessionresumption_ID","www.inao.gouv.fr/80.87.225.52","443","INFO","supported","",""
"TLS_timestamp","www.inao.gouv.fr/80.87.225.52","443","INFO","random","",""
"cert_compression","www.inao.gouv.fr/80.87.225.52","443","INFO","N/A","",""
"clientAuth","www.inao.gouv.fr/80.87.225.52","443","INFO","none","",""
"cert_numbers","www.inao.gouv.fr/80.87.225.52","443","INFO","1","",""
"cert_signatureAlgorithm","www.inao.gouv.fr/80.87.225.52","443","OK","SHA256 with RSA","",""
"cert_keySize","www.inao.gouv.fr/80.87.225.52","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.inao.gouv.fr/80.87.225.52","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.inao.gouv.fr/80.87.225.52","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.inao.gouv.fr/80.87.225.52","443","INFO","BB0D4F95C5978D7E3B15DBBC0D1ADAB5","",""
"cert_serialNumberLen","www.inao.gouv.fr/80.87.225.52","443","INFO","16","",""
"cert_fingerprintSHA1","www.inao.gouv.fr/80.87.225.52","443","INFO","40D56CE1F99D4E0A87C3EE102833E6BF74C39C8E","",""
"cert_fingerprintSHA256","www.inao.gouv.fr/80.87.225.52","443","INFO","C88256AA5FC512E1DB0D248907D81C838EF06821610C7F9836FD3F1FC1EF323A","",""
"cert","www.inao.gouv.fr/80.87.225.52","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGODCCBSCgAwIBAgIRALsNT5XFl41+OxXbvA0a2rUwDQYJKoZIhvcNAQELBQAwXzELMAkGA1UEBhMCRlIxDjAMBgNVBAgTBVBhcmlzMQ4wDAYDVQQHEwVQYXJpczEOMAwGA1UEChMFR2FuZGkxIDAeBgNVBAMTF0dhbmRpIFN0YW5kYXJkIFNTTCBDQSAyMB4XDTIzMDcyNDAwMDAwMFoXDTI0MDcyOTIzNTk1OVowGTEXMBUGA1UEAwwOKi5pbmFvLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC4G6fdF3CQUZYYwzDE6DI5a32BGJwifxEPS+25QGRu3ffBPy1WaV/0vEtNHeVZmREDohXOZ8uz5cJGlGmUAMNJL3oURIHfUrWhoL7jCpq3QlS8ZTgB7DgJzjHIk9N7N4F7D9gRZp3j/ccD+PiY42FAkf9fB7/p6VANBCkqXEXZ1MvgmhIMwmDwGmCsVF+2n03YRoHsZu09fwbRGRgKcO+t8n0jIWBCkfdTgHnOghWHKxPp1O3UMryV7QmeaGvISPXI9x4HccYW09tzLH6AIMki2IWAbarNsbhcjQhCYFqM35hJnkTVpo4rBafd+Yli+0JtriH706v8ENEP75K5p6cpAgMBAAGjggMzMIIDLzAfBgNVHSMEGDAWgBSzkKfYya9OzWE8n3ytXX9B/Wkw6jAdBgNVHQ4EFgQU/aa1WSy5+JCSq++vIx/ttiH80jkwDgYDVR0PAQH/BAQDAgWgMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMEsGA1UdIAREMEIwNgYLKwYBBAGyMQECAhowJzAlBggrBgEFBQcCARYZaHR0cHM6Ly9jcHMudXNlcnRydXN0LmNvbTAIBgZngQwBAgEwQQYDVR0fBDowODA2oDSgMoYwaHR0cDovL2NybC51c2VydHJ1c3QuY29tL0dhbmRpU3RhbmRhcmRTU0xDQTIuY3JsMHMGCCsGAQUFBwEBBGcwZTA8BggrBgEFBQcwAoYwaHR0cDovL2NydC51c2VydHJ1c3QuY29tL0dhbmRpU3RhbmRhcmRTU0xDQTIuY3J0MCUGCCsGAQUFBzABhhlodHRwOi8vb2NzcC51c2VydHJ1c3QuY29tMCcGA1UdEQQgMB6CDiouaW5hby5nb3V2LmZyggxpbmFvLmdvdXYuZnIwggGABgorBgEEAdZ5AgQCBIIBcASCAWwBagB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABiYb14ssAAAQDAEcwRQIgB8u/Amc7UPR//RPhLla8xCzu4dOJvwAVnDO3WQmFJqwCIQD6f0RDL6dTxwlqbRqUNTD0h04pfUKYas758yYmmR057gB3ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABiYb14x0AAAQDAEgwRgIhAIM5BwWA07U4X6xsqf2OwT2eSn6BcwyQG6nD6ZyH5QkJAiEA6ycnbJW7H3Ftl884pelph81eHZ1cfEsH3J2b73hkDQ0AdwDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYmG9eL3AAAEAwBIMEYCIQDvi/SqTXwYInb5+kyj/K4gqq2A7nYP+nRBu0VCR7SzywIhAOiTbfL0gt7rx628Izcai/7V2JyHRxFXUnmlaJQ1gs9ZMA0GCSqGSIb3DQEBCwUAA4IBAQCE33O8FPDiRnZWz1OpvrzQo4f436RjuBwzUyjkiTAzIuSRJwCMf5ZwKIfGC+CgBbl9P9pRBuS0B9NV4XGx62Kw1ZpVaAysYfBDl9hRagJkhL+Y1EH5cHzyNRhBKkK8NUCfnmtt7X5kq6rXpl5oTCgNx72NUvjBCgGDJ77euDMk8ZvQ8ram0ugCVHnEmpBt0eGKvdJcJaKnYyB3Ew6z9Cr8MtY66lsvk3Y7Fhs5kwbBhNQcBXstx3wONl2r0czm5DsE8bD4EebEICsBwbqGUdu8ja9QyuKzc3w39opnSIXUWGC6n0hXBQs/KOE95kD0sLRcHVuOBnF/Mj4b3aI26DwN\n-----END CERTIFICATE-----","",""
"cert_commonName","www.inao.gouv.fr/80.87.225.52","443","OK","*.inao.gouv.fr","",""
"cert_commonName_wo_SNI","www.inao.gouv.fr/80.87.225.52","443","INFO","*.inao.gouv.fr","",""
"cert_subjectAltName","www.inao.gouv.fr/80.87.225.52","443","INFO","*.inao.gouv.fr inao.gouv.fr","",""
"cert_trust","www.inao.gouv.fr/80.87.225.52","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_trust_wildcard","www.inao.gouv.fr/80.87.225.52","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www.inao.gouv.fr/80.87.225.52","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.inao.gouv.fr/80.87.225.52","443","INFO","no","",""
"cert_expirationStatus","www.inao.gouv.fr/80.87.225.52","443","OK","206 >= 60 days","",""
"cert_notBefore","www.inao.gouv.fr/80.87.225.52","443","INFO","2023-07-24 00:00","",""
"cert_notAfter","www.inao.gouv.fr/80.87.225.52","443","OK","2024-07-29 23:59","",""
"cert_extlifeSpan","www.inao.gouv.fr/80.87.225.52","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.inao.gouv.fr/80.87.225.52","443","INFO","not present","",""
"cert_crlDistributionPoints","www.inao.gouv.fr/80.87.225.52","443","INFO","http://crl.usertrust.com/GandiStandardSSLCA2.crl","",""
"cert_ocspURL","www.inao.gouv.fr/80.87.225.52","443","INFO","http://ocsp.usertrust.com","",""
"OCSP_stapling","www.inao.gouv.fr/80.87.225.52","443","LOW","not offered","",""
