"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.infos.ademe.fr/217.70.184.56","443","INFO","HTTP","",""
"pre_128cipher","www.infos.ademe.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.infos.ademe.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","www.infos.ademe.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","www.infos.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","www.infos.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","www.infos.ademe.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","www.infos.ademe.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","www.infos.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","www.infos.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.infos.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.infos.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.infos.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.infos.ademe.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.infos.ademe.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.infos.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.infos.ademe.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","www.infos.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.infos.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","www.infos.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","www.infos.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","www.infos.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.infos.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","www.infos.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"FS","www.infos.ademe.fr/217.70.184.56","443","OK","offered","",""
"FS_ciphers","www.infos.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","www.infos.ademe.fr/217.70.184.56","443","OK","prime256v1","",""
"TLS_extensions","www.infos.ademe.fr/217.70.184.56","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","www.infos.ademe.fr/217.70.184.56","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.infos.ademe.fr/217.70.184.56","443","INFO","yes","",""
"sessionresumption_ticket","www.infos.ademe.fr/217.70.184.56","443","INFO","supported","",""
"sessionresumption_ID","www.infos.ademe.fr/217.70.184.56","443","INFO","not supported","",""
"TLS_timestamp","www.infos.ademe.fr/217.70.184.56","443","INFO","random","",""
"certificate_compression","www.infos.ademe.fr/217.70.184.56","443","INFO","none","",""
"clientAuth","www.infos.ademe.fr/217.70.184.56","443","INFO","none","",""
"cert_numbers","www.infos.ademe.fr/217.70.184.56","443","INFO","1","",""
"cert_signatureAlgorithm","www.infos.ademe.fr/217.70.184.56","443","OK","SHA256 with RSA","",""
"cert_keySize","www.infos.ademe.fr/217.70.184.56","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.infos.ademe.fr/217.70.184.56","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.infos.ademe.fr/217.70.184.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.infos.ademe.fr/217.70.184.56","443","INFO","36DFB2CFEAB311791A9291E97C0DC6D7","",""
"cert_serialNumberLen","www.infos.ademe.fr/217.70.184.56","443","INFO","16","",""
"cert_fingerprintSHA1","www.infos.ademe.fr/217.70.184.56","443","INFO","47D05F9A654111B30BDC15F3D69F5A9D0D153588","",""
"cert_fingerprintSHA256","www.infos.ademe.fr/217.70.184.56","443","INFO","3060284839917C6433123C726E5501EC84E4EC5ACA6FFC5EA1995385E7A244F4","",""
"cert","www.infos.ademe.fr/217.70.184.56","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFZTCCBE2gAwIBAgIQNt+yz+qzEXkakpHpfA3G1zANBgkqhkiG9w0BAQsFADBfMQswCQYDVQQGEwJGUjEOMAwGA1UECBMFUGFyaXMxDjAMBgNVBAcTBVBhcmlzMQ4wDAYDVQQKEwVHYW5kaTEgMB4GA1UEAxMXR2FuZGkgU3RhbmRhcmQgU1NMIENBIDIwHhcNMjMwMjI3MDAwMDAwWhcNMjQwMzI1MjM1OTU5WjAdMRswGQYDVQQDExJ3d3cuaW5mb3MuYWRlbWUuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAATJEqZ7DEQ0J3J+09f7oAFgAjYWQFTgyFsLnhdHSBp87LsB7qSqi5x24Z5qTDk8+ZxZ7SlyZVIMIGl0tAOmkNzno4IDKDCCAyQwHwYDVR0jBBgwFoAUs5Cn2MmvTs1hPJ98rV1/Qf1pMOowHQYDVR0OBBYEFHoZoSavjQcjys/GxOliksEljEcCMA4GA1UdDwEB/wQEAwIHgDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBLBgNVHSAERDBCMDYGCysGAQQBsjEBAgIaMCcwJQYIKwYBBQUHAgEWGWh0dHBzOi8vY3BzLnVzZXJ0cnVzdC5jb20wCAYGZ4EMAQIBMEEGA1UdHwQ6MDgwNqA0oDKGMGh0dHA6Ly9jcmwudXNlcnRydXN0LmNvbS9HYW5kaVN0YW5kYXJkU1NMQ0EyLmNybDBzBggrBgEFBQcBAQRnMGUwPAYIKwYBBQUHMAKGMGh0dHA6Ly9jcnQudXNlcnRydXN0LmNvbS9HYW5kaVN0YW5kYXJkU1NMQ0EyLmNydDAlBggrBgEFBQcwAYYZaHR0cDovL29jc3AudXNlcnRydXN0LmNvbTAdBgNVHREEFjAUghJ3d3cuaW5mb3MuYWRlbWUuZnIwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB3AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABhpBujxkAAAQDAEgwRgIhAI3zEuor8dfSn1MUgEWgYBtWyqffm6kJIbviNxyOwwNWAiEAjpnmkM/zsCtTocfZ6LrZUOgcilqNcDgDZfGblZlJ/+cAdgDatr9rP7W2Ip+bwrtca+hwkXFsu1GEhTS9pD0wSNf7qwAAAYaQbo9yAAAEAwBHMEUCIQD6Ry3TnW8PKpikYvrrt3Im3nmrU7YFo+dazs4QrpVARgIgJwleUdcvPVIiXj8bhugyanS8vhTmxQ+zMW1W5y5Lg1cAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYaQbo9FAAAEAwBHMEUCIQD4eLEtGRpVtaYjKEMh1xuKDUszELznCHRR9iJyxqq7dAIgOdBX5UQroLwVXOJ84+j+bYmlP2LtPiAGdHAsuXXc0aQwDQYJKoZIhvcNAQELBQADggEBAAJ2gUkKwTbWCmpTk+j4fLgBPZZZxNd0KCdkhhkmZEq9szgxmvTqXm7IQ+5KEMe8PbCbo/SlN4zOmQzaxOyaoKU4UA3Eyz9Oqcbsk46LsFaRMTk8XMLt7JbakXWl+SM4a6iAEpZnfmrYjhn1K+oTgj/7atHr1TQzNpOuc5cscn9oWLQzILEWBmhI9NAYpTsOJQ8G73f3BLKlHyK8w9E7NhcREquK4YDiIF9aOIvDv8DmFsGyb/fCgStiqrcXD6pB3sr8txBnK75egcmTnhqaKy1PFkVAfThYuhP6cIboR9Z5/JiIUy2YAgfy7WP8jtV5yBOsN2PvSeZJMq8W/t7H41I=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.infos.ademe.fr/217.70.184.56","443","OK","www.infos.ademe.fr","",""
"cert_commonName_wo_SNI","www.infos.ademe.fr/217.70.184.56","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","www.infos.ademe.fr/217.70.184.56","443","INFO","www.infos.ademe.fr","",""
"cert_trust","www.infos.ademe.fr/217.70.184.56","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.infos.ademe.fr/217.70.184.56","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.infos.ademe.fr/217.70.184.56","443","INFO","no","",""
"cert_expirationStatus","www.infos.ademe.fr/217.70.184.56","443","OK","80 >= 60 days","",""
"cert_notBefore","www.infos.ademe.fr/217.70.184.56","443","INFO","2023-02-27 00:00","",""
"cert_notAfter","www.infos.ademe.fr/217.70.184.56","443","OK","2024-03-25 23:59","",""
"cert_extlifeSpan","www.infos.ademe.fr/217.70.184.56","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.infos.ademe.fr/217.70.184.56","443","INFO","not present","",""
"cert_crlDistributionPoints","www.infos.ademe.fr/217.70.184.56","443","INFO","http://crl.usertrust.com/GandiStandardSSLCA2.crl","",""
"cert_ocspURL","www.infos.ademe.fr/217.70.184.56","443","INFO","http://ocsp.usertrust.com","",""
"OCSP_stapling","www.infos.ademe.fr/217.70.184.56","443","OK","offered","",""
"cert_ocspRevoked","www.infos.ademe.fr/217.70.184.56","443","OK","not revoked","",""
"cert_mustStapleExtension","www.infos.ademe.fr/217.70.184.56","443","INFO","--","",""
"DNS_CAArecord","www.infos.ademe.fr/217.70.184.56","443","LOW","--","",""
"certificate_transparency","www.infos.ademe.fr/217.70.184.56","443","OK","yes (certificate extension)","",""
"certs_countServer","www.infos.ademe.fr/217.70.184.56","443","INFO","2","",""
"certs_list_ordering_problem","www.infos.ademe.fr/217.70.184.56","443","INFO","no","",""
"cert_caIssuers","www.infos.ademe.fr/217.70.184.56","443","INFO","Gandi Standard SSL CA 2 (Gandi from FR)","",""
"intermediate_cert <#1>","www.infos.ademe.fr/217.70.184.56","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF6TCCA9GgAwIBAgIQBeTcO5Q4qzuFl8umoZhQ4zANBgkqhkiG9w0BAQwFADCBiDELMAkGA1UEBhMCVVMxEzARBgNVBAgTCk5ldyBKZXJzZXkxFDASBgNVBAcTC0plcnNleSBDaXR5MR4wHAYDVQQKExVUaGUgVVNFUlRSVVNUIE5ldHdvcmsxLjAsBgNVBAMTJVVTRVJUcnVzdCBSU0EgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkwHhcNMTQwOTEyMDAwMDAwWhcNMjQwOTExMjM1OTU5WjBfMQswCQYDVQQGEwJGUjEOMAwGA1UECBMFUGFyaXMxDjAMBgNVBAcTBVBhcmlzMQ4wDAYDVQQKEwVHYW5kaTEgMB4GA1UEAxMXR2FuZGkgU3RhbmRhcmQgU1NMIENBIDIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCUBC2meZV0/9UAPPWu2JSxKXzAjwsLibmCg5duNyj1ohrP0pILm6jTh5RzhBCf3DXLwi2SrCG5yzv8QMHBgyHwv/j2nPqcghDA0I5O5Q1MsJFckLSkQFEW2uSEEi0FXKEfFxkkUap66uEHG4aNAXLy59SDIzme4OFMH2sio7QQZrDtgpbXbmq08j+1QvzdirWrui0dOnWbMdw+naxb00ENbLAb9Tr1eeohovj0M1JLJC0epJmxbUi8uBL+cnB89/sCdfSN3tbawKAyGlLfOGsuRTg/PwSWAP2h9KK71RfWJ3wbWFmVXooS/ZyrgT5SKEhRhWvzkbKGPym1bgNi7tYFAgMBAAGjggF1MIIBcTAfBgNVHSMEGDAWgBRTeb9aqitKz1SA4dibwJ3ysgNmyzAdBgNVHQ4EFgQUs5Cn2MmvTs1hPJ98rV1/Qf1pMOowDgYDVR0PAQH/BAQDAgGGMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMCIGA1UdIAQbMBkwDQYLKwYBBAGyMQECAhowCAYGZ4EMAQIBMFAGA1UdHwRJMEcwRaBDoEGGP2h0dHA6Ly9jcmwudXNlcnRydXN0LmNvbS9VU0VSVHJ1c3RSU0FDZXJ0aWZpY2F0aW9uQXV0aG9yaXR5LmNybDB2BggrBgEFBQcBAQRqMGgwPwYIKwYBBQUHMAKGM2h0dHA6Ly9jcnQudXNlcnRydXN0LmNvbS9VU0VSVHJ1c3RSU0FBZGRUcnVzdENBLmNydDAlBggrBgEFBQcwAYYZaHR0cDovL29jc3AudXNlcnRydXN0LmNvbTANBgkqhkiG9w0BAQwFAAOCAgEAWGf9crJq13xhlhl+2UNG0SZ9yFP6ZrBrLafTqlb3OojQO3LJUP33WbKqaPWMcwO7lWUXzi8c3ZgTopHJ7qFAbjyY1lzzsiI8Le4bpOHeICQW8owRc5E69vrOJAKHypPstLbIFhfFcvwnQPYT/pOmnVHvPCvYd1ebjGU6NSU2t7WKY28HJ5OxYI2A25bUeo8tqxyIyW5+1mUfr13KFj8oRtygNeX56eXVlogMT8a3d2dIhCe2H7Bo26y/d7CQuKLJHDJdArolQ4FCR7vY4Y8MDEZf7kYzawMUgtN+zY+vkNaOJH1AQrRqahfGlZfh8jjNp+20J0CT33KpuMZmYzc4ZCIwojvxuch7yPspOqsactIGEk72gtQjbz7Dk+XYtsDe3CMW1hMwt6CaDixVBgBwAc/qOR2A24j3pSC4W/0xJmmPLQphgzpHphNULB7j7UTKvGofKA5R2d4On3XNDgOVyvnFqSot/kGkoUeuDcL5OWYzSlvhhChZbH2UF3bkRYKtcCD90m9jqNf6oDP6N8v3smWe2lBvP+Sn845dWDKXcCMu5/3EFZucJ48y7RetWIExKREam9T8bJUox04FB6b9HbwZ4ui3uRGKLXASUoWNjDNKD/yZkuBjcNqllEdjB+dYxzFfBT02Vf6Dsuimrdfp5gJ0iHRc2jTbkNJtUQoj1iM=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.infos.ademe.fr/217.70.184.56","443","INFO","B9F2164323638DCE0B92218B43C41C1B2B2696389329DB19F5CF7AD49B5CB372","",""
"intermediate_cert_notBefore <#1>","www.infos.ademe.fr/217.70.184.56","443","INFO","2014-09-12 00:00","",""
"intermediate_cert_notAfter <#1>","www.infos.ademe.fr/217.70.184.56","443","OK","2024-09-11 23:59","",""
"intermediate_cert_expiration <#1>","www.infos.ademe.fr/217.70.184.56","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.infos.ademe.fr/217.70.184.56","443","INFO","Gandi Standard SSL CA 2 <-- USERTrust RSA Certification Authority","",""
"intermediate_cert_badOCSP","www.infos.ademe.fr/217.70.184.56","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.infos.ademe.fr/217.70.184.56","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","www.infos.ademe.fr/217.70.184.56","443","INFO","Got no HTTP time, maybe try different URL?","",""
"HSTS","www.infos.ademe.fr/217.70.184.56","443","LOW","not offered","",""
"HPKP","www.infos.ademe.fr/217.70.184.56","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.infos.ademe.fr/217.70.184.56","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","www.infos.ademe.fr/217.70.184.56","443","INFO","No application banner found","",""
"cookie_count","www.infos.ademe.fr/217.70.184.56","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","www.infos.ademe.fr/217.70.184.56","443","MEDIUM","--","",""
"banner_reverseproxy","www.infos.ademe.fr/217.70.184.56","443","INFO","--","","CWE-200"
"heartbleed","www.infos.ademe.fr/217.70.184.56","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.infos.ademe.fr/217.70.184.56","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
