"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ofb.gouv.fr/83.118.214.134","443","INFO","HTTP","",""
"pre_128cipher","www.ofb.gouv.fr/83.118.214.134","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ofb.gouv.fr/83.118.214.134","443","OK","not offered","",""
"SSLv3","www.ofb.gouv.fr/83.118.214.134","443","OK","not offered","",""
"TLS1","www.ofb.gouv.fr/83.118.214.134","443","LOW","offered (deprecated)","",""
"TLS1_1","www.ofb.gouv.fr/83.118.214.134","443","LOW","offered (deprecated)","",""
"TLS1_2","www.ofb.gouv.fr/83.118.214.134","443","OK","offered","",""
"TLS1_3","www.ofb.gouv.fr/83.118.214.134","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.ofb.gouv.fr/83.118.214.134","443","INFO","not offered","",""
"cipherlist_NULL","www.ofb.gouv.fr/83.118.214.134","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ofb.gouv.fr/83.118.214.134","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ofb.gouv.fr/83.118.214.134","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ofb.gouv.fr/83.118.214.134","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ofb.gouv.fr/83.118.214.134","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.ofb.gouv.fr/83.118.214.134","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ofb.gouv.fr/83.118.214.134","443","OK","offered","",""
"cipherlist_STRONG_FS","www.ofb.gouv.fr/83.118.214.134","443","OK","offered","",""
"cipher_order-tls1","www.ofb.gouv.fr/83.118.214.134","443","OK","server","",""
"cipherorder_TLSv1","www.ofb.gouv.fr/83.118.214.134","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","www.ofb.gouv.fr/83.118.214.134","443","OK","server","",""
"cipherorder_TLSv1_1","www.ofb.gouv.fr/83.118.214.134","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","www.ofb.gouv.fr/83.118.214.134","443","OK","server","",""
"cipherorder_TLSv1_2","www.ofb.gouv.fr/83.118.214.134","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.ofb.gouv.fr/83.118.214.134","443","OK","server","",""
"FS","www.ofb.gouv.fr/83.118.214.134","443","OK","offered","",""
"FS_ciphers","www.ofb.gouv.fr/83.118.214.134","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.ofb.gouv.fr/83.118.214.134","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.ofb.gouv.fr/83.118.214.134","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.ofb.gouv.fr/83.118.214.134","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.ofb.gouv.fr/83.118.214.134","443","INFO","yes","",""
"sessionresumption_ticket","www.ofb.gouv.fr/83.118.214.134","443","INFO","supported","",""
"sessionresumption_ID","www.ofb.gouv.fr/83.118.214.134","443","INFO","supported","",""
"TLS_timestamp","www.ofb.gouv.fr/83.118.214.134","443","INFO","random","",""
"cert_compression","www.ofb.gouv.fr/83.118.214.134","443","INFO","N/A","",""
"clientAuth","www.ofb.gouv.fr/83.118.214.134","443","INFO","none","",""
"cert_numbers","www.ofb.gouv.fr/83.118.214.134","443","INFO","1","",""
"cert_signatureAlgorithm","www.ofb.gouv.fr/83.118.214.134","443","OK","SHA256 with RSA","",""
"cert_keySize","www.ofb.gouv.fr/83.118.214.134","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.ofb.gouv.fr/83.118.214.134","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.ofb.gouv.fr/83.118.214.134","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.ofb.gouv.fr/83.118.214.134","443","INFO","05036F007C869E6BCF18345B157296AA","",""
"cert_serialNumberLen","www.ofb.gouv.fr/83.118.214.134","443","INFO","16","",""
"cert_fingerprintSHA1","www.ofb.gouv.fr/83.118.214.134","443","INFO","800CAF0758E3821637427C176B96C3F81CB74773","",""
"cert_fingerprintSHA256","www.ofb.gouv.fr/83.118.214.134","443","INFO","789D4B1C72F26DD89AFC253E177B47A4C30E173EAE43477A211A5341E633D381","",""
