"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.optigede.ademe.fr/217.70.184.56","443","INFO","HTTP","",""
"pre_128cipher","www.optigede.ademe.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.optigede.ademe.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","www.optigede.ademe.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","www.optigede.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","www.optigede.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","www.optigede.ademe.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","www.optigede.ademe.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","www.optigede.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","www.optigede.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.optigede.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.optigede.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.optigede.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.optigede.ademe.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.optigede.ademe.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.optigede.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.optigede.ademe.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","www.optigede.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.optigede.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","www.optigede.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","www.optigede.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","www.optigede.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.optigede.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","www.optigede.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"FS","www.optigede.ademe.fr/217.70.184.56","443","OK","offered","",""
"FS_ciphers","www.optigede.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","www.optigede.ademe.fr/217.70.184.56","443","OK","prime256v1","",""
"TLS_extensions","www.optigede.ademe.fr/217.70.184.56","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","www.optigede.ademe.fr/217.70.184.56","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.optigede.ademe.fr/217.70.184.56","443","INFO","yes","",""
"sessionresumption_ticket","www.optigede.ademe.fr/217.70.184.56","443","INFO","supported","",""
"sessionresumption_ID","www.optigede.ademe.fr/217.70.184.56","443","INFO","supported","",""
"TLS_timestamp","www.optigede.ademe.fr/217.70.184.56","443","INFO","random","",""
"certificate_compression","www.optigede.ademe.fr/217.70.184.56","443","INFO","none","",""
"clientAuth","www.optigede.ademe.fr/217.70.184.56","443","INFO","none","",""
"cert_numbers","www.optigede.ademe.fr/217.70.184.56","443","INFO","1","",""
"cert_signatureAlgorithm","www.optigede.ademe.fr/217.70.184.56","443","OK","SHA256 with RSA","",""
"cert_keySize","www.optigede.ademe.fr/217.70.184.56","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.optigede.ademe.fr/217.70.184.56","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.optigede.ademe.fr/217.70.184.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.optigede.ademe.fr/217.70.184.56","443","INFO","7011C78D56F44A1B1E75D70CA3E44B3E","",""
"cert_serialNumberLen","www.optigede.ademe.fr/217.70.184.56","443","INFO","16","",""
"cert_fingerprintSHA1","www.optigede.ademe.fr/217.70.184.56","443","INFO","E21CC51E1598C9DA32067B6621DC7C75F1B23A13","",""
"cert_fingerprintSHA256","www.optigede.ademe.fr/217.70.184.56","443","INFO","6354AD0F06C25CF3F2A740157F7BE2F6B6D41942E833E4FBB7B0BE201B9F49BA","",""
