"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.nosgestesclimat.fr/76.76.21.9","443","INFO","HTTP","",""
"pre_128cipher","www.nosgestesclimat.fr/76.76.21.9","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.nosgestesclimat.fr/76.76.21.9","443","OK","not offered","",""
"SSLv3","www.nosgestesclimat.fr/76.76.21.9","443","OK","not offered","",""
"TLS1","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not offered","",""
"TLS1_1","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not offered","",""
"TLS1_2","www.nosgestesclimat.fr/76.76.21.9","443","OK","offered","",""
"TLS1_3","www.nosgestesclimat.fr/76.76.21.9","443","OK","offered with final","",""
"ALPN_HTTP2","www.nosgestesclimat.fr/76.76.21.9","443","OK","h2","",""
"ALPN","www.nosgestesclimat.fr/76.76.21.9","443","INFO","http/1.1","",""
"cipherlist_NULL","www.nosgestesclimat.fr/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.nosgestesclimat.fr/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.nosgestesclimat.fr/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.nosgestesclimat.fr/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.nosgestesclimat.fr/76.76.21.9","443","OK","offered","",""
"cipher_order-tls1_2","www.nosgestesclimat.fr/76.76.21.9","443","OK","server","",""
"cipherorder_TLSv1_2","www.nosgestesclimat.fr/76.76.21.9","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.nosgestesclimat.fr/76.76.21.9","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.nosgestesclimat.fr/76.76.21.9","443","OK","offered","",""
"FS_ciphers","www.nosgestesclimat.fr/76.76.21.9","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.nosgestesclimat.fr/76.76.21.9","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.nosgestesclimat.fr/76.76.21.9","443","INFO","'status request/#5' 'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.nosgestesclimat.fr/76.76.21.9","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.nosgestesclimat.fr/76.76.21.9","443","INFO","yes","",""
"sessionresumption_ticket","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not supported","",""
"sessionresumption_ID","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not supported","",""
"TLS_timestamp","www.nosgestesclimat.fr/76.76.21.9","443","INFO","random","",""
"certificate_compression","www.nosgestesclimat.fr/76.76.21.9","443","INFO","none","",""
"clientAuth","www.nosgestesclimat.fr/76.76.21.9","443","INFO","none","",""
"cert_numbers","www.nosgestesclimat.fr/76.76.21.9","443","INFO","1","",""
"cert_signatureAlgorithm","www.nosgestesclimat.fr/76.76.21.9","443","OK","SHA256 with RSA","",""
"cert_keySize","www.nosgestesclimat.fr/76.76.21.9","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.nosgestesclimat.fr/76.76.21.9","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.nosgestesclimat.fr/76.76.21.9","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.nosgestesclimat.fr/76.76.21.9","443","INFO","03C043400DEFB836F4E50B9424259843F7B4","",""
"cert_serialNumberLen","www.nosgestesclimat.fr/76.76.21.9","443","INFO","18","",""
"cert_fingerprintSHA1","www.nosgestesclimat.fr/76.76.21.9","443","INFO","BC5BF47681D63927D5A80CBF1D342FA3B47D80B7","",""
"cert_fingerprintSHA256","www.nosgestesclimat.fr/76.76.21.9","443","INFO","18686AC8BF2A341D42EA34F5CAE050189A46FBD9AECE2844892223371C4967DC","",""
"cert","www.nosgestesclimat.fr/76.76.21.9","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE+DCCA+CgAwIBAgISA8BDQA3vuDb05QuUJCWYQ/e0MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEyMjEyMjQ0MjlaFw0yNDAzMjAyMjQ0MjhaMCExHzAdBgNVBAMTFnd3dy5ub3NnZXN0ZXNjbGltYXQuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCzYyphE+20bnROAmc80IciwNRFftZh7B3aImz60YhAjrCBcTxXQ+ei5bp0HXasdb0ORwsSAUhVQ3kgJnjtaExbUQdNCurf3F7RwwAo4ckgLMi8wXsIfK/iPRTQ2wYZHEbeHjN2Zeu2PEzJCLfen1crivhD58FWO+8143i2H3r3UEshkVPe3IExvAAvdLYO9p+z5bMEpw/kvGoRyGrubfdSOjClfSdI4/RsHppoZkye2UEsJumVMCPekMXUSXLZxgBwSVQupTCxg3L+3AlMm51egKZ7X/6d5tZrRjRz/Vr4Utu1ghR6aB5AnWDO2R0b6o/gD4ZflAz7eZd0YaHMxn4BAgMBAAGjggIXMIICEzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFCGqxAx0i92EtI0q/G2x9o6NDs4qMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMCEGA1UdEQQaMBiCFnd3dy5ub3NnZXN0ZXNjbGltYXQuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgBIsONr2qZHNA/lagL6nTDrHFIBy1bdLIHZu7+rOdiEcwAAAYyOxCivAAAEAwBHMEUCIGCCFm5d1fIpTQWJtVaIkHuRgvKeLlpgDb+7rzkPZec4AiEAv+0ocmzxyg+I0sDdUJTrT+qdv+x7MjPZO3MEn1urY8cAdQCi4r/WHt4vLweg1k5tN6fcZUOwxrUuotq3iviabfUX2AAAAYyOxCjGAAAEAwBGMEQCIHrqQCHueUIh0YXAuqg1h6MfVqcfunelMpDToWzNEXPuAiADb5xh64RnaihaLgSSFQ+O6W1jDWu1LTP6f3JF66LiEzANBgkqhkiG9w0BAQsFAAOCAQEAYh0gbZ/Bb/U4O4StnSPB5p0P71VRNIYxoeqDreA50C4jcFKXNnxP5J8w64+vMt8Dpau3uA7hRwNb7nKyozgR8p10fvaqojT0F7YodmLSuGiccp2nxFBXT0ff/QygrWOyFa53akXmXPfVsQ+NB8eJsZsB2TPWTBA7ReGrYwZFlsHqerJOT849MNl9zrqrteAjprKWSEV6m5Co1K4mjIV4Ur933SJsl2QCDwuSLEN347O8tCMXbwKwH2U2+6nYeAz8nj1juMRacCQ/k0jGmbgpz8ZvmeR/7ivkqJxRGH2p/AWG71Iixepf8o3L/xK/HPrZ1ETIYnos9fcjFCY3+l5iNQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.nosgestesclimat.fr/76.76.21.9","443","OK","www.nosgestesclimat.fr","",""
"cert_commonName_wo_SNI","www.nosgestesclimat.fr/76.76.21.9","443","INFO","no-sni.vercel-infra.com","",""
"cert_subjectAltName","www.nosgestesclimat.fr/76.76.21.9","443","INFO","www.nosgestesclimat.fr","",""
"cert_trust","www.nosgestesclimat.fr/76.76.21.9","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.nosgestesclimat.fr/76.76.21.9","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.nosgestesclimat.fr/76.76.21.9","443","INFO","no","",""
"cert_expirationStatus","www.nosgestesclimat.fr/76.76.21.9","443","OK","75 >= 30 days","",""
"cert_notBefore","www.nosgestesclimat.fr/76.76.21.9","443","INFO","2023-12-21 22:44","",""
"cert_notAfter","www.nosgestesclimat.fr/76.76.21.9","443","OK","2024-03-20 22:44","",""
"cert_extlifeSpan","www.nosgestesclimat.fr/76.76.21.9","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.nosgestesclimat.fr/76.76.21.9","443","INFO","not present","",""
