"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.sante.fr/172.65.210.14","443","INFO","HTTP","",""
"pre_128cipher","www.sante.fr/172.65.210.14","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.sante.fr/172.65.210.14","443","OK","not offered","",""
"SSLv3","www.sante.fr/172.65.210.14","443","OK","not offered","",""
"TLS1","www.sante.fr/172.65.210.14","443","INFO","not offered","",""
"TLS1_1","www.sante.fr/172.65.210.14","443","INFO","not offered","",""
"TLS1_2","www.sante.fr/172.65.210.14","443","OK","offered","",""
"TLS1_3","www.sante.fr/172.65.210.14","443","OK","offered with final","",""
"ALPN_HTTP2","www.sante.fr/172.65.210.14","443","OK","h2","",""
"ALPN","www.sante.fr/172.65.210.14","443","INFO","http/1.1","",""
"cipherlist_NULL","www.sante.fr/172.65.210.14","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.sante.fr/172.65.210.14","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.sante.fr/172.65.210.14","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.sante.fr/172.65.210.14","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.sante.fr/172.65.210.14","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.sante.fr/172.65.210.14","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.sante.fr/172.65.210.14","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.sante.fr/172.65.210.14","443","OK","offered","",""
"cipher_order-tls1_2","www.sante.fr/172.65.210.14","443","OK","server","",""
"cipherorder_TLSv1_2","www.sante.fr/172.65.210.14","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.sante.fr/172.65.210.14","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.sante.fr/172.65.210.14","443","OK","offered","",""
"FS_ciphers","www.sante.fr/172.65.210.14","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","www.sante.fr/172.65.210.14","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.sante.fr/172.65.210.14","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'signed certificate timestamps/#18' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","www.sante.fr/172.65.210.14","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.sante.fr/172.65.210.14","443","INFO","yes","",""
"sessionresumption_ticket","www.sante.fr/172.65.210.14","443","INFO","supported","",""
"sessionresumption_ID","www.sante.fr/172.65.210.14","443","INFO","not supported","",""
"TLS_timestamp","www.sante.fr/172.65.210.14","443","INFO","random","",""
"certificate_compression","www.sante.fr/172.65.210.14","443","INFO","0002/Brotli","",""
"clientAuth","www.sante.fr/172.65.210.14","443","INFO","none","",""
"cert_numbers","www.sante.fr/172.65.210.14","443","INFO","1","",""
"cert_signatureAlgorithm","www.sante.fr/172.65.210.14","443","OK","SHA256 with RSA","",""
"cert_keySize","www.sante.fr/172.65.210.14","443","INFO","RSA 2048 bits (exponent is 65537)","",""
