"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","HTTP","",""
"pre_128cipher","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.signal.conso.gouv.fr/185.42.117.109","443","OK","not offered","",""
"SSLv3","www.signal.conso.gouv.fr/185.42.117.109","443","OK","not offered","",""
"TLS1","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"TLS1_1","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"TLS1_2","www.signal.conso.gouv.fr/185.42.117.109","443","OK","offered","",""
"TLS1_3","www.signal.conso.gouv.fr/185.42.117.109","443","OK","offered with final","",""
"ALPN","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","http/1.1","",""
"cipherlist_NULL","www.signal.conso.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.signal.conso.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.signal.conso.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.signal.conso.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.signal.conso.gouv.fr/185.42.117.109","443","OK","offered","",""
"cipher_order-tls1_2","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.signal.conso.gouv.fr/185.42.117.109","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.signal.conso.gouv.fr/185.42.117.109","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","NOT a cipher order configured","",""
"FS","www.signal.conso.gouv.fr/185.42.117.109","443","OK","offered","",""
"FS_ciphers","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.signal.conso.gouv.fr/185.42.117.109","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","yes","",""
"sessionresumption_ticket","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"sessionresumption_ID","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"TLS_timestamp","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","random","",""
"certificate_compression","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","none","",""
"clientAuth","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","none","",""
"cert_numbers","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","1","",""
"cert_signatureAlgorithm","www.signal.conso.gouv.fr/185.42.117.109","443","OK","SHA256 with RSA","",""
"cert_keySize","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","0397A579D72A7B1FBB82F5D7463B4A8B6B47","",""
"cert_serialNumberLen","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","18","",""
"cert_fingerprintSHA1","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","70BE61857F61EF2EEBA452BD5A86E60DE20F3E08","",""
"cert_fingerprintSHA256","www.signal.conso.gouv.fr/185.42.117.109","443","INFO","359F99C26EF5E22CEDECAB6FB1CF2EDF9659FE98440AE7DB73B034961630D784","",""
