"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.sinoe.org/217.108.11.39","443","INFO","HTTP","",""
"pre_128cipher","www.sinoe.org/217.108.11.39","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.sinoe.org/217.108.11.39","443","OK","not offered","",""
"SSLv3","www.sinoe.org/217.108.11.39","443","OK","not offered","",""
"TLS1","www.sinoe.org/217.108.11.39","443","LOW","offered (deprecated)","",""
"TLS1_1","www.sinoe.org/217.108.11.39","443","LOW","offered (deprecated)","",""
"TLS1_2","www.sinoe.org/217.108.11.39","443","OK","offered","",""
"TLS1_3","www.sinoe.org/217.108.11.39","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.sinoe.org/217.108.11.39","443","OK","h2","",""
"ALPN","www.sinoe.org/217.108.11.39","443","INFO","http/1.1","",""
"cipherlist_NULL","www.sinoe.org/217.108.11.39","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.sinoe.org/217.108.11.39","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.sinoe.org/217.108.11.39","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.sinoe.org/217.108.11.39","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","www.sinoe.org/217.108.11.39","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.sinoe.org/217.108.11.39","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.sinoe.org/217.108.11.39","443","OK","offered","",""
"cipherlist_STRONG_FS","www.sinoe.org/217.108.11.39","443","OK","offered","",""
"cipher_order-tls1","www.sinoe.org/217.108.11.39","443","OK","server","",""
"cipherorder_TLSv1","www.sinoe.org/217.108.11.39","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","www.sinoe.org/217.108.11.39","443","OK","server","",""
"cipherorder_TLSv1_1","www.sinoe.org/217.108.11.39","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","www.sinoe.org/217.108.11.39","443","OK","server","",""
"cipherorder_TLSv1_2","www.sinoe.org/217.108.11.39","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.sinoe.org/217.108.11.39","443","OK","server","",""
"FS","www.sinoe.org/217.108.11.39","443","OK","offered","",""
