"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","HTTP","",""
"pre_128cipher","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.parcoursup.gouv.fr/117.18.238.144","443","OK","not offered","",""
"SSLv3","www.parcoursup.gouv.fr/117.18.238.144","443","OK","not offered","",""
"TLS1","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","not offered","",""
"TLS1_1","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","not offered","",""
"TLS1_2","www.parcoursup.gouv.fr/117.18.238.144","443","OK","offered","",""
"TLS1_3","www.parcoursup.gouv.fr/117.18.238.144","443","OK","offered with final","",""
"ALPN_HTTP2","www.parcoursup.gouv.fr/117.18.238.144","443","OK","h2","",""
"ALPN","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","http/1.1","",""
"cipherlist_NULL","www.parcoursup.gouv.fr/117.18.238.144","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.parcoursup.gouv.fr/117.18.238.144","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.parcoursup.gouv.fr/117.18.238.144","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.parcoursup.gouv.fr/117.18.238.144","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.parcoursup.gouv.fr/117.18.238.144","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.parcoursup.gouv.fr/117.18.238.144","443","OK","offered","",""
"cipherlist_STRONG_FS","www.parcoursup.gouv.fr/117.18.238.144","443","OK","offered","",""
"cipher_order-tls1_2","www.parcoursup.gouv.fr/117.18.238.144","443","OK","server","",""
"cipherorder_TLSv1_2","www.parcoursup.gouv.fr/117.18.238.144","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.parcoursup.gouv.fr/117.18.238.144","443","OK","server","",""
"FS","www.parcoursup.gouv.fr/117.18.238.144","443","OK","offered","",""
