"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","HTTP","",""
"pre_128cipher","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","not offered","",""
"SSLv3","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","not offered","",""
"TLS1","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","not offered","",""
"TLS1_1","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","not offered","",""
"TLS1_2","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","offered","",""
"TLS1_3","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","offered with final","",""
"ALPN_HTTP2","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","h2","",""
"cipherlist_NULL","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","offered","",""
"cipher_order-tls1_2","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","server","",""
"cipherorder_TLSv1_2","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","server","",""
"FS","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","offered","",""
"FS_ciphers","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","yes","",""
"sessionresumption_ticket","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","not supported","",""
"sessionresumption_ID","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","not supported","",""
"TLS_timestamp","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","random","",""
"certificate_compression","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","none","",""
"clientAuth","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","none","",""
"cert_numbers","www.tarifs-bancaires.gouv.fr/46.105.200.2","443","INFO","1","",""
